NO TES,EMAIL,NAMA,PRODI,Kesimpulan,Hasil
TES-AKD-2026-02602,dwisantoso37@pln.co.id,Dwi Santoso,PROGRAM STUDI LAINNYA TEKNIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02603,cengkalnug513@gmail.com,Cengkal Nugroho,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02604,bakiantola248@gmail.com,Bakianto Latupono,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02605,karensusan179@yahoo.com,Karen Susanti,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02606,karimahsud399@gmail.com,Karimah Sudiati,PUBLIC POLICY,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02607,warjisamos257@pln.co.id,Warji Samosir,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02608,ajiminjail863@gmail.com,Ajimin Jailani,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02611,pariszulai749@gmail.com,Paris Zulaika,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02612,pardimanul188@yahoo.com,Pardi Manullang,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02613,tantrihand783@yahoo.com,Tantri Handayani,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02614,primanapit530@yahoo.com,Prima Napitupulu,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02615,karenhasan42@outlook.com,Karen Hasanah,MATEMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02616,marialaksm94@outlook.com,Maria Laksmiwati,AKUNTANSI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02618,luissaeful99@outlook.com,Luis Saefullah,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02619,carlanovit487@yahoo.com,Carla Novitasari,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02620,omanhabibi118@gmail.com,Oman Habibi,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02622,eliusada393@yahoo.com,Eli Usada,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02623,nilamutami168@pln.co.id,Nilam Utami,TEKNIK GEOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02625,cinthiaper942@yahoo.com,Cinthia Pertiwi,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02627,ayuyuliant875@outlook.com,Ayu Yulianti,KESELAMATAN DAN KESEHATAN KERJA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02628,sitiaryani253@pln.co.id,Siti Aryani,TEKNIK GEOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02631,yonoanggri239@outlook.com,Yono Anggriawan,TEKNIK PERTAMBANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02632,dasasimanj884@gmail.com,Dasa Simanjuntak,TEKNIK GEOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02633,jefriiswah491@outlook.com,Jefri Iswahyudi,ELEKTRONIKA DAN INSTRUMENTASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02634,mulyantoma101@gmail.com,Mulyanto Mangunsong,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02635,inawijayan433@pln.co.id,Ina Wijayanti,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02636,jaswadisit712@gmail.com,Jaswadi Sitorus,MATEMATIKA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02637,jamalhalim501@pln.co.id,Jamal Halim,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02638,mumpunipra491@pln.co.id,Mumpuni Pradipta,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02639,prabasirai282@pln.co.id,Praba Sirait,KOMUNIKASI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02642,gadingwibi322@yahoo.com,Gading Wibisono,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02643,prabowowib216@outlook.com,Prabowo Wibisono,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02644,ameliaangg213@gmail.com,Amelia Anggraini,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02649,darmanawij433@outlook.com,Darmana Wijaya,DATA SCIENCE,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02651,julipertiw480@outlook.com,Juli Pertiwi,PUBLIC POLICY,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02652,budihutaga403@pln.co.id,Budi Hutagalung,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02653,indranaing972@outlook.com,Indra Nainggolan,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02654,carlausama53@gmail.com,Carla Usamah,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02656,wahyuprasa872@pln.co.id,Wahyu Prasasta,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02657,cagerhutas762@yahoo.com,Cager Hutasoit,PSIKOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02658,rahmanhabi63@outlook.com,Rahman Habibi,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02659,laksanaraj818@gmail.com,Laksana Rajasa,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02662,yuliawastu239@pln.co.id,Yulia Wastuti,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02663,ciciyulian627@pln.co.id,Cici Yulianti,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02664,kanipratiw555@gmail.com,Kani Pratiwi,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02665,raharjanug127@outlook.com,Raharja Nugroho,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02667,labuhsitor611@outlook.com,Labuh Sitorus,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02668,harsanaman221@yahoo.com,Harsana Mandala,ADMINISTRASI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02670,ihsanmusto802@outlook.com,Ihsan Mustofa,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02671,janefarida484@pln.co.id,Jane Farida,HUKUM,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02672,dianyulian945@pln.co.id,Dian Yulianti,TEKNIK PERTAMBANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02673,rinihasana862@outlook.com,Rini Hasanah,MANAJEMEN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02674,putrimulya131@gmail.com,Putri Mulyani,TEKNIK PERTAMBANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02676,prayitnana691@outlook.com,Prayitna Nababan,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02679,jatiprabow738@yahoo.com,Jati Prabowo,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02680,ismailmanu576@gmail.com,Ismail Manullang,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02681,opungardia867@yahoo.com,Opung Ardianto,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02682,onisusanti213@pln.co.id,Oni Susanti,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02683,ekanashiru507@gmail.com,Eka Nashiruddin,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02684,milapermat216@gmail.com,Mila Permata,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02685,puputhasan399@outlook.com,Puput Hasanah,MATEMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02686,jumadihuta50@outlook.com,Jumadi Hutagalung,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02688,cahyantoma244@yahoo.com,Cahyanto Marpaung,MANAJEMEN INVESTASI BANK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02690,amiusada336@yahoo.com,Ami Usada,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02691,jindrawibo542@outlook.com,Jindra Wibowo,MATEMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02692,cahyapange330@yahoo.com,Cahya Pangestu,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02693,radityadam881@outlook.com,Raditya Damanik,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02694,jarwiwasit780@gmail.com,Jarwi Wasita,TEKNIK GEOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02695,rizkinarpa121@yahoo.com,Rizki Narpati,PSIKOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02696,juliamelan757@outlook.com,Julia Melani,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02697,endahastut427@outlook.com,Endah Astuti,TEKNIK GEODESI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02698,safinalaks445@yahoo.com,Safina Laksmiwati,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02699,yanipadmas299@pln.co.id,Yani Padmasari,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02701,bellanasyi723@yahoo.com,Bella Nasyidah,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02702,ratnamulya87@yahoo.com,Ratna Mulyani,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02703,sarisudiat679@outlook.com,Sari Sudiati,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02704,jayengprab364@outlook.com,Jayeng Prabowo,TEKNIK GEOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02705,indralazua80@pln.co.id,Indra Lazuardi,TEKNIK GEODESI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02706,cecepbudiy784@yahoo.com,Cecep Budiyanto,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02707,kasusranap913@outlook.com,Kasusra Napitupulu,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02708,latikalail871@yahoo.com,Latika Lailasari,KESELAMATAN DAN KESEHATAN KERJA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02709,muhammadme491@pln.co.id,Muhammad Megantara,TEKNIK GEOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02710,irsadsuryo872@outlook.com,Irsad Suryono,MATEMATIKA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02712,sitiagusti154@gmail.com,Siti Agustina,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02713,mutiausada621@yahoo.com,Mutia Usada,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02714,anitaharta459@yahoo.com,Anita Hartati,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02716,rahminasyi263@gmail.com,Rahmi Nasyiah,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02717,windapalas57@gmail.com,Winda Palastri,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02719,fitriapurn168@outlook.com,Fitria Purnawati,KESELAMATAN DAN KESEHATAN KERJA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02721,asmadiperm820@gmail.com,Asmadi Permadi,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02722,dianamarya788@outlook.com,Diana Maryati,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02725,hairyantob214@pln.co.id,Hairyanto Budiman,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02727,lamariswah710@gmail.com,Lamar Iswahyudi,DIGITAL MARKETING DAN ANALYTICS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02728,wirasuryon844@outlook.com,Wira Suryono,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02729,dianfujiat379@pln.co.id,Dian Fujiati,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02731,adhiarjasu530@outlook.com,Adhiarja Suwarno,PROGRAM STUDI LAINNYA NON TEKNIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02732,emilmarpau613@yahoo.com,Emil Marpaung,KESELAMATAN DAN KESEHATAN KERJA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02734,jasminandr825@gmail.com,Jasmin Andriani,MATEMATIKA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02735,parisnurai327@pln.co.id,Paris Nuraini,KOMUNIKASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02736,ulyapalast676@outlook.com,Ulya Palastri,KEUANGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02739,kaninasyid688@gmail.com,Kani Nasyidah,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02740,laraspurwa802@gmail.com,Laras Purwanti,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02742,cawisadiuw242@gmail.com,Cawisadi Uwais,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02744,warsabudim655@yahoo.com,Warsa Budiman,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02746,ratnautami936@outlook.com,Ratna Utami,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02748,faizahnasy649@pln.co.id,Faizah Nasyiah,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02749,unjanilaks732@gmail.com,Unjani Laksmiwati,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02751,harjayasae933@yahoo.com,Harjaya Saefullah,MANAJEMEN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02753,nilamprati361@outlook.com,Nilam Pratiwi,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02754,parisharya219@gmail.com,Paris Haryanti,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02755,gambiranat935@yahoo.com,Gambira Natsir,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02756,rachelmuly425@yahoo.com,Rachel Mulyani,MANAJEMEN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02758,cakrawalan893@gmail.com,Cakrawala Nashiruddin,AKUNTANSI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02760,putuanggri53@outlook.com,Putu Anggriawan,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02761,yaniyuniar939@gmail.com,Yani Yuniar,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02762,rahmatkusw606@yahoo.com,Rahmat Kuswoyo,MANAJEMEN RISIKO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02763,mutiapuspi692@pln.co.id,Mutia Puspita,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02764,zulaikhawa496@outlook.com,Zulaikha Wahyuni,TEKNIK LISTRIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02765,lukitafirg249@pln.co.id,Lukita Firgantoro,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02770,zahrafujia600@gmail.com,Zahra Fujiati,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02771,ganepnaing683@yahoo.com,Ganep Nainggolan,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02772,novipermat975@outlook.com,Novi Permata,DIGITAL MARKETING DAN ANALYTICS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02773,ajionomahe516@outlook.com,Ajiono Maheswara,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02774,wartaadria631@yahoo.com,Warta Adriansyah,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02775,nugrahaang772@yahoo.com,Nugraha Anggriawan,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02777,leohidayan239@yahoo.com,Leo Hidayanto,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02778,verawahyun650@yahoo.com,Vera Wahyuni,KOMUNIKASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02780,dirjaharya485@yahoo.com,Dirja Haryanto,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02783,halimauyai930@yahoo.com,Halima Uyainah,ELEKTRONIKA DAN INSTRUMENTASI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02784,irmarahima585@outlook.com,Irma Rahimah,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02785,artawanwas477@pln.co.id,Artawan Waskita,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02786,kaniahassa124@outlook.com,Kania Hassanah,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02787,wagesamosi517@gmail.com,Wage Samosir,TEKNIK GEODESI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02788,murtilatup661@outlook.com,Murti Latupono,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02789,martanisim192@yahoo.com,Martani Simbolon,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02790,zalindraha175@outlook.com,Zalindra Hassanah,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02792,gangsasant708@gmail.com,Gangsa Santoso,KONVERSI ENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02793,yunianggra359@yahoo.com,Yuni Anggraini,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02794,parislaksi568@gmail.com,Paris Laksita,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02795,heryantosi426@outlook.com,Heryanto Sinaga,MANAJEMEN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02796,mariadihak429@yahoo.com,Mariadi Hakim,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02797,cindypurna126@outlook.com,Cindy Purnawati,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02799,mujursaefu338@pln.co.id,Mujur Saefullah,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02801,kokosetiaw256@pln.co.id,Koko Setiawan,MANAJEMEN RISIKO,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02802,verahasana515@yahoo.com,Vera Hasanah,KOMUNIKASI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02803,galiononap47@yahoo.com,Galiono Napitupulu,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02804,ghaliyatir487@yahoo.com,Ghaliyati Rahimah,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02805,keishamand549@gmail.com,Keisha Mandasari,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02806,teguhutama741@yahoo.com,Teguh Utama,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02810,hardananaj267@yahoo.com,Hardana Najmudin,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02811,malikayuni962@yahoo.com,Malika Yuniar,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02812,carakadong749@outlook.com,Caraka Dongoran,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02816,kardipradi187@pln.co.id,Kardi Pradipta,ELEKTRONIKA DAN INSTRUMENTASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02817,ibunhutaga439@yahoo.com,Ibun Hutagalung,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02820,cemetimahe440@outlook.com,Cemeti Mahendra,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02821,michellewi709@gmail.com,Michelle Wijayanti,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02822,keziamarya31@yahoo.com,Kezia Maryati,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02824,inaaryani396@gmail.com,Ina Aryani,PSIKOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02826,gabriellap410@outlook.com,Gabriella Prastuti,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02829,noviusada328@outlook.com,Novi Usada,PROGRAM STUDI LAINNYA NON TEKNIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02830,dwimanguns763@outlook.com,Dwi Mangunsong,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02832,parisanggr139@pln.co.id,Paris Anggraini,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02834,maryantosi529@yahoo.com,Maryanto Sinaga,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02837,jagapatina88@outlook.com,Jagapati Nainggolan,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02839,kaylaandri169@gmail.com,Kayla Andriani,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02840,kasusrasur644@pln.co.id,Kasusra Suryono,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02842,dalimanput444@pln.co.id,Daliman Putra,DIGITAL MARKETING DAN ANALYTICS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02843,paulinpusp184@pln.co.id,Paulin Puspasari,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02845,ungguliswa375@yahoo.com,Unggul Iswahyudi,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02846,kenaripras549@outlook.com,Kenari Prasasta,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02847,jessicanov747@pln.co.id,Jessica Novitasari,MATEMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02849,jindrasant100@pln.co.id,Jindra Santoso,TEKNIK PERTAMBANGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02850,zalindrama923@gmail.com,Zalindra Mandasari,MANAJEMEN RISIKO,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02851,ekaprastut895@yahoo.com,Eka Prastuti,KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02852,cintapuspa156@gmail.com,Cinta Puspasari,TEKNIK LISTRIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02855,lidyasafit691@gmail.com,Lidya Safitri,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02857,ajionosaef376@pln.co.id,Ajiono Saefullah,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02859,gawatinama746@gmail.com,Gawati Namaga,KOMUNIKASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02860,mariauyain133@pln.co.id,Maria Uyainah,ADMINISTRASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02862,pangeranpr370@outlook.com,Pangeran Prakasa,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02863,rahmansina604@gmail.com,Rahman Sinaga,PROGRAM STUDI LAINNYA NON TEKNIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02864,paulinokta444@yahoo.com,Paulin Oktaviani,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-02866,gentapurna304@outlook.com,Genta Purnawati,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02869,ratnaperti14@pln.co.id,Ratna Pertiwi,PSIKOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-02870,bagussamos753@outlook.com,Bagus Samosir,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Lolos
