NO TES,EMAIL,NAMA,PRODI,KATEGORI,ABSTRACT_REASONING,VERBAL_REASONING,NUMERICAL_REASONING,TOTAL
TES-AKD-2026-01829,putrisafit703@yahoo.com,Putri Safitri,MANAJEMEN KEUANGAN,I,4,6,10,20
TES-AKD-2026-01830,ratnasurya384@outlook.com,Ratna Suryatmi,MANAJEMEN KEUANGAN,I,8,9,4,21
TES-AKD-2026-01831,carubnatsi407@pln.co.id,Carub Natsir,SUPPLY CHAIN MANAGEMENT,I,5,5,7,17
TES-AKD-2026-01832,cintaharta845@pln.co.id,Cinta Hartati,TEKNIK MATERIAL,I,5,8,7,20
TES-AKD-2026-01833,utamahiday994@gmail.com,Utama Hidayat,PROGRAM STUDI LAINNYA TEKNIK,I,8,6,7,21
TES-AKD-2026-01834,idausamah648@gmail.com,Ida Usamah,AKUNTANSI,I,4,7,7,18
TES-AKD-2026-01835,diananovit754@gmail.com,Diana Novitasari,TEKNIK KIMIA,I,5,6,6,17
TES-AKD-2026-01836,malikanasy829@pln.co.id,Malika Nasyidah,DATA SCIENCE,I,8,6,6,20
TES-AKD-2026-01837,cintapuspi47@gmail.com,Cinta Puspita,ELEKTRONIKA DAN INSTRUMENTASI,II,7,7,5,19
TES-AKD-2026-01838,gangsarsir970@outlook.com,Gangsar Sirait,TEKNIK MATERIAL,II,6,5,9,20
TES-AKD-2026-01839,irmayulian365@yahoo.com,Irma Yulianti,MANAJEMEN KEUANGAN,I,8,8,8,24
TES-AKD-2026-01840,dalionowib899@yahoo.com,Daliono Wibisono,DATA SCIENCE,I,8,9,8,25
TES-AKD-2026-01841,cinthiahan241@outlook.com,Cinthia Handayani,MANAJEMEN PROYEK,I,4,9,7,20
TES-AKD-2026-01842,bagyasalah302@outlook.com,Bagya Salahudin,DATA SCIENCE,I,7,6,5,18
TES-AKD-2026-01843,balamahesw413@outlook.com,Bala Maheswara,ENERGI BARU TERBARUKAN,I,3,8,6,17
TES-AKD-2026-01844,marganafir938@gmail.com,Margana Firgantoro,TEKNIK ELEKTRO,II,9,8,8,25
TES-AKD-2026-01845,parismayas117@pln.co.id,Paris Mayasari,SAFETY ENGINEERING,II,5,7,8,20
TES-AKD-2026-01846,umiandrian688@pln.co.id,Umi Andriani,MANAJEMEN INVESTASI BANK,I,8,7,4,19
TES-AKD-2026-01847,sadinalail324@outlook.com,Sadina Lailasari,MANAJEMEN ASET,III,5,7,5,17
TES-AKD-2026-01848,nadiaprast858@gmail.com,Nadia Prastuti,SUPPLY CHAIN MANAGEMENT,I,8,8,5,21
TES-AKD-2026-01849,hafshahwah901@pln.co.id,Hafshah Wahyuni,MANAJEMEN,II,6,10,6,22
TES-AKD-2026-01850,luhungmahe686@outlook.com,Luhung Mahendra,MANAJEMEN PEMASARAN,I,6,8,7,21
TES-AKD-2026-01851,yogairawan777@yahoo.com,Yoga Irawan,MANAJEMEN,I,6,9,3,18
TES-AKD-2026-01852,harjayanas152@outlook.com,Harjaya Nashiruddin,KEUANGAN,I,7,4,4,15
TES-AKD-2026-01853,jaemansara678@gmail.com,Jaeman Saragih,SUPPLY CHAIN MANAGEMENT,I,5,6,5,16
TES-AKD-2026-01854,lantarhuta330@yahoo.com,Lantar Hutasoit,TEKNIK INFORMATIKA,I,5,7,7,19
TES-AKD-2026-01855,cahyadabuk810@gmail.com,Cahya Dabukke,PUBLIC POLICY,II,5,6,5,16
TES-AKD-2026-01856,zulaikhapa157@yahoo.com,Zulaikha Padmasari,AKUNTANSI,I,6,4,7,17
TES-AKD-2026-01857,lulutkurni235@outlook.com,Lulut Kurniawan,MANAJEMEN BISNIS,I,5,9,6,20
TES-AKD-2026-01858,rinimelani975@yahoo.com,Rini Melani,KOMUNIKASI,I,6,6,6,18
TES-AKD-2026-01859,labuhhardi193@yahoo.com,Labuh Hardiansyah,MANAJEMEN,III,2,7,8,17
TES-AKD-2026-01860,egamahendr212@outlook.com,Ega Mahendra,TEKNIK ELEKTRO,II,7,3,6,16
TES-AKD-2026-01861,lilipalast961@yahoo.com,Lili Palastri,ADMINISTRASI BISNIS,II,8,8,6,22
TES-AKD-2026-01862,sabrimusto264@outlook.com,Sabri Mustofa,TEKNIK GEODESI,I,8,6,9,23
TES-AKD-2026-01863,elmaprastu918@pln.co.id,Elma Prastuti,TEKNIK LISTRIK,I,6,8,10,24
TES-AKD-2026-01864,karmawibow59@yahoo.com,Karma Wibowo,ADMINISTRASI BISNIS,II,7,8,6,21
TES-AKD-2026-01865,jonowijaya281@yahoo.com,Jono Wijaya,TEKNIK MATERIAL,III,9,8,6,23
TES-AKD-2026-01866,taufanpran149@yahoo.com,Taufan Pranowo,TEKNIK PERTAMBANGAN,II,8,7,6,21
TES-AKD-2026-01867,paulinraha231@outlook.com,Paulin Rahayu,TEKNIK ELEKTRO,I,6,7,7,20
TES-AKD-2026-01868,mamansirai257@gmail.com,Maman Sirait,MATEMATIKA,I,5,6,7,18
TES-AKD-2026-01869,ellapuspas733@pln.co.id,Ella Puspasari,ENERGI BARU TERBARUKAN,II,8,7,5,20
TES-AKD-2026-01870,purwahutag646@outlook.com,Purwa Hutagalung,TEKNIK INDUSTRI,I,8,5,5,18
TES-AKD-2026-01871,rikapudjia568@yahoo.com,Rika Pudjiastuti,ELEKTRONIKA DAN INSTRUMENTASI,I,6,5,7,18
TES-AKD-2026-01872,rosmandama586@pln.co.id,Rosman Damanik,TEKNIK MATERIAL,II,7,7,9,23
TES-AKD-2026-01873,windaastut401@gmail.com,Winda Astuti,DIGITAL MARKETING DAN ANALYTICS,II,5,5,5,15
TES-AKD-2026-01874,kiandrapra407@gmail.com,Kiandra Pratiwi,TEKNIK INDUSTRI,II,7,7,7,21
TES-AKD-2026-01875,pancawaluy364@yahoo.com,Panca Waluyo,AKUNTANSI,I,7,7,6,20
TES-AKD-2026-01876,elmarahayu460@yahoo.com,Elma Rahayu,PUBLIC POLICY,I,4,7,5,16
TES-AKD-2026-01877,karennurdi258@pln.co.id,Karen Nurdiyanti,TEKNIK LINGKUNGAN,I,7,4,10,21
TES-AKD-2026-01878,sucilestar715@pln.co.id,Suci Lestari,BIG DATA DAN BUSINESS INTELLIGENCE,I,8,3,8,19
TES-AKD-2026-01879,legamanull457@outlook.com,Lega Manullang,TEKNIK SIPIL,I,10,5,9,24
TES-AKD-2026-01880,indahfarid295@yahoo.com,Indah Farida,DIGITAL MARKETING DAN ANALYTICS,I,9,5,8,22
TES-AKD-2026-01881,balanggapr482@outlook.com,Balangga Pratama,MANAJEMEN PEMASARAN,I,3,10,7,20
TES-AKD-2026-01882,padmauyain162@pln.co.id,Padma Uyainah,AKUNTANSI,I,6,9,7,22
TES-AKD-2026-01883,shakilawij729@pln.co.id,Shakila Wijayanti,TEKNIK KIMIA,I,10,4,6,20
TES-AKD-2026-01884,rinimandas651@outlook.com,Rini Mandasari,DATA SCIENCE,I,6,5,8,19
TES-AKD-2026-01885,sabrinahar883@pln.co.id,Sabrina Hariyah,HUKUM,I,6,8,5,19
TES-AKD-2026-01886,indranugro576@outlook.com,Indra Nugroho,TEKNIK SIPIL,I,10,4,6,20
TES-AKD-2026-01887,cindynurdi794@gmail.com,Cindy Nurdiyanti,SUPPLY CHAIN MANAGEMENT,I,5,7,6,18
TES-AKD-2026-01888,edisonwibi512@outlook.com,Edison Wibisono,SUPPLY CHAIN MANAGEMENT,II,8,9,5,22
TES-AKD-2026-01889,novianggra342@gmail.com,Novi Anggraini,KOMUNIKASI,I,6,10,7,23
TES-AKD-2026-01890,devipadmas661@gmail.com,Devi Padmasari,DATA SCIENCE,II,9,3,8,20
TES-AKD-2026-01891,janetmardh929@pln.co.id,Janet Mardhiyah,TEKNIK GEOLOGI,I,7,4,5,16
TES-AKD-2026-01892,ulikuswand127@gmail.com,Uli Kuswandari,TEKNIK LINGKUNGAN,I,6,5,8,19
TES-AKD-2026-01893,harsayaang401@gmail.com,Harsaya Anggriawan,ENERGI BARU TERBARUKAN,I,8,8,6,22
TES-AKD-2026-01894,milanasyia950@outlook.com,Mila Nasyiah,AKUNTANSI,I,9,8,7,24
TES-AKD-2026-01895,emplukwaca823@yahoo.com,Empluk Wacana,DATA SCIENCE,I,7,7,9,23
TES-AKD-2026-01896,harjayasih631@outlook.com,Harjaya Sihotang,TEKNIK ELEKTRO,II,7,5,8,20
TES-AKD-2026-01897,harsananai683@pln.co.id,Harsana Nainggolan,HUKUM,II,5,8,5,18
TES-AKD-2026-01898,ellamayasa763@gmail.com,Ella Mayasari,TEKNIK INDUSTRI,II,9,6,10,25
TES-AKD-2026-01899,legagunawa993@yahoo.com,Lega Gunawan,PROGRAM STUDI LAINNYA TEKNIK,I,6,7,8,21
TES-AKD-2026-01900,mayautami37@yahoo.com,Maya Utami,TEKNIK MESIN,I,9,6,8,23
TES-AKD-2026-01901,hestirahim567@yahoo.com,Hesti Rahimah,BIG DATA DAN BUSINESS INTELLIGENCE,I,10,4,7,21
TES-AKD-2026-01902,dariatinat293@yahoo.com,Dariati Natsir,MANAJEMEN PEMASARAN,I,10,9,7,26
TES-AKD-2026-01903,irianauyai411@gmail.com,Iriana Uyainah,TEKNIK PERTAMBANGAN,II,8,6,8,22
TES-AKD-2026-01904,taswirhard154@outlook.com,Taswir Hardiansyah,TEKNIK INFORMATIKA,II,8,7,8,23
TES-AKD-2026-01905,rahayuhari480@pln.co.id,Rahayu Hariyah,TEKNIK ELEKTRO,I,7,6,10,23
TES-AKD-2026-01906,amaliapadm326@gmail.com,Amalia Padmasari,KONVERSI ENERGI,I,9,8,3,20
TES-AKD-2026-01907,rachelkusw21@yahoo.com,Rachel Kuswandari,TEKNIK BIOENERGI,I,8,6,10,24
TES-AKD-2026-01908,kacungwahy225@gmail.com,Kacung Wahyudin,MATEMATIKA,I,10,7,5,22
TES-AKD-2026-01909,gatotnarpa876@gmail.com,Gatot Narpati,TEKNIK LINGKUNGAN,I,9,5,8,22
TES-AKD-2026-01910,limannugro459@yahoo.com,Liman Nugroho,MANAJEMEN,II,6,10,8,24
TES-AKD-2026-01911,patriciawi805@outlook.com,Patricia Winarsih,DIGITAL MARKETING DAN ANALYTICS,II,5,6,4,15
TES-AKD-2026-01912,citrapalas479@outlook.com,Citra Palastri,TEKNIK SIPIL,I,6,5,9,20
TES-AKD-2026-01913,oliviawula574@outlook.com,Olivia Wulandari,ADMINISTRASI,I,8,7,5,20
TES-AKD-2026-01914,kartikausa945@gmail.com,Kartika Usada,MANAJEMEN INVESTASI BANK,I,7,5,4,16
TES-AKD-2026-01915,tinayuniar152@outlook.com,Tina Yuniar,MANAJEMEN INVESTASI BANK,I,9,8,9,26
TES-AKD-2026-01916,ichasafitr612@outlook.com,Icha Safitri,PUBLIC POLICY,I,4,7,6,17
TES-AKD-2026-01917,gildaperti372@pln.co.id,Gilda Pertiwi,TEKNIK KIMIA,I,10,6,9,25
TES-AKD-2026-01918,budilatupo692@pln.co.id,Budi Latupono,TEKNIK INFORMATIKA,I,8,5,8,21
TES-AKD-2026-01919,violethari837@gmail.com,Violet Hariyah,MANAJEMEN,I,7,9,7,23
TES-AKD-2026-01920,radityawib718@gmail.com,Raditya Wibowo,MANAJEMEN BISNIS,I,8,5,9,22
TES-AKD-2026-01921,bellawahyu47@yahoo.com,Bella Wahyuni,MANAJEMEN BISNIS,I,6,7,8,21
TES-AKD-2026-01922,opheliahan191@yahoo.com,Ophelia Handayani,TEKNIK LINGKUNGAN,I,7,3,7,17
TES-AKD-2026-01923,langgengsu458@yahoo.com,Langgeng Suryono,TEKNIK GEOLOGI,I,7,6,9,22
TES-AKD-2026-01924,ellaharyan237@gmail.com,Ella Haryanti,TEKNIK BIOENERGI,II,8,7,8,23
TES-AKD-2026-01925,arispranow672@outlook.com,Aris Pranowo,PROGRAM STUDI LAINNYA NON TEKNIK,I,8,8,7,23
TES-AKD-2026-01926,unggulutam58@outlook.com,Unggul Utama,MANAJEMEN PROYEK,I,6,6,6,18
TES-AKD-2026-01927,gamanadria817@yahoo.com,Gaman Adriansyah,ADMINISTRASI BISNIS,II,5,6,6,17
TES-AKD-2026-01928,halimtamba744@outlook.com,Halim Tamba,KONVERSI ENERGI,I,7,4,7,18
TES-AKD-2026-01929,aisyahwula275@pln.co.id,Aisyah Wulandari,TEKNIK MESIN,I,9,8,10,27
TES-AKD-2026-01930,marsudipra638@yahoo.com,Marsudi Prasasta,TEKNIK LISTRIK,I,6,8,10,24
TES-AKD-2026-01931,muhammadwi794@yahoo.com,Muhammad Wibowo,TEKNIK INFORMATIKA,I,7,8,7,22
TES-AKD-2026-01932,kaylanurai971@pln.co.id,Kayla Nuraini,MANAJEMEN,I,6,8,5,19
TES-AKD-2026-01933,amaliahasa685@outlook.com,Amalia Hasanah,TEKNIK LINGKUNGAN,I,5,4,9,18
TES-AKD-2026-01934,caketwasit238@outlook.com,Caket Wasita,PROGRAM STUDI LAINNYA NON TEKNIK,I,6,3,5,14
TES-AKD-2026-01935,tasnimjail421@gmail.com,Tasnim Jailani,TEKNIK ELEKTRO,II,6,7,10,23
TES-AKD-2026-01936,rezasaputr641@outlook.com,Reza Saputra,ENERGI BARU TERBARUKAN,I,4,7,7,18
TES-AKD-2026-01937,vanesapras582@yahoo.com,Vanesa Prastuti,DATA SCIENCE,II,9,6,7,22
TES-AKD-2026-01938,rainawahyu179@gmail.com,Raina Wahyuni,ENERGI BARU TERBARUKAN,I,6,4,9,19
TES-AKD-2026-01939,jarwazulka160@yahoo.com,Jarwa Zulkarnain,TEKNIK BIOENERGI,I,7,6,10,23
TES-AKD-2026-01940,gadamandal528@gmail.com,Gada Mandala,MANAJEMEN RISIKO,II,5,10,7,22
TES-AKD-2026-01941,yulianaokt86@yahoo.com,Yuliana Oktaviani,BIG DATA DAN BUSINESS INTELLIGENCE,II,7,6,7,20
TES-AKD-2026-01942,malikkurni716@outlook.com,Malik Kurniawan,TEKNIK BIOENERGI,I,7,7,10,24
TES-AKD-2026-01943,hildahanda651@gmail.com,Hilda Handayani,TEKNIK MATERIAL,I,7,8,6,21
TES-AKD-2026-01944,harjolatup963@gmail.com,Harjo Latupono,TEKNIK MESIN,I,8,6,6,20
TES-AKD-2026-01945,kajensirai514@outlook.com,Kajen Sirait,KESELAMATAN DAN KESEHATAN KERJA,II,7,4,6,17
TES-AKD-2026-01946,murtisalah239@pln.co.id,Murti Salahudin,MANAJEMEN ASET,I,5,7,8,20
TES-AKD-2026-01947,salimahnas426@gmail.com,Salimah Nasyiah,ADMINISTRASI BISNIS,I,4,10,7,21
TES-AKD-2026-01948,kasiyahwij513@gmail.com,Kasiyah Wijayanti,ADMINISTRASI BISNIS,I,7,6,7,20
TES-AKD-2026-01949,umayasarag371@outlook.com,Umaya Saragih,TEKNIK MATERIAL,II,6,7,7,20
TES-AKD-2026-01950,ihsanperma322@yahoo.com,Ihsan Permadi,MANAJEMEN ASET,II,5,9,9,23
TES-AKD-2026-01951,gildasafit157@gmail.com,Gilda Safitri,TEKNIK INDUSTRI,II,6,6,9,21
TES-AKD-2026-01952,tridongora927@pln.co.id,Tri Dongoran,MANAJEMEN RISIKO,II,5,5,6,16
TES-AKD-2026-01953,taliayulia977@pln.co.id,Talia Yuliarti,MANAJEMEN PEMASARAN,I,6,4,5,15
TES-AKD-2026-01954,budinajmud125@yahoo.com,Budi Najmudin,TEKNIK BIOENERGI,I,10,5,6,21
TES-AKD-2026-01955,clarawinar872@yahoo.com,Clara Winarsih,TEKNIK MESIN,II,8,5,5,18
TES-AKD-2026-01956,mamankusum853@outlook.com,Maman Kusumo,TEKNIK GEOLOGI,II,6,8,7,21
TES-AKD-2026-01957,respatiram79@gmail.com,Respati Ramadan,ADMINISTRASI,I,5,6,7,18
TES-AKD-2026-01958,ikinsirait722@yahoo.com,Ikin Sirait,PSIKOLOGI,I,7,6,6,19
TES-AKD-2026-01959,luthfipras370@gmail.com,Luthfi Prasetya,TEKNIK ELEKTRO,II,6,3,8,17
TES-AKD-2026-01960,balanggama132@outlook.com,Balangga Mansur,PSIKOLOGI,I,4,9,8,21
TES-AKD-2026-01961,ganephalim389@pln.co.id,Ganep Halim,PSIKOLOGI,I,10,7,5,22
TES-AKD-2026-01962,jagaragana763@yahoo.com,Jagaraga Narpati,ADMINISTRASI BISNIS,II,6,7,4,17
TES-AKD-2026-01963,yuliausama595@pln.co.id,Yulia Usamah,MANAJEMEN INVESTASI BANK,I,7,6,7,20
TES-AKD-2026-01964,restuhasan479@outlook.com,Restu Hasanah,MATEMATIKA,III,9,5,6,20
TES-AKD-2026-01965,adesaputra669@pln.co.id,Ade Saputra,ADMINISTRASI,III,6,7,7,20
TES-AKD-2026-01966,kalimnabab476@yahoo.com,Kalim Nababan,PROGRAM STUDI LAINNYA NON TEKNIK,II,10,7,9,26
TES-AKD-2026-01967,irmapurnaw622@gmail.com,Irma Purnawati,TEKNIK INFORMATIKA,II,7,8,8,23
TES-AKD-2026-01968,warsitahak978@yahoo.com,Warsita Hakim,ADMINISTRASI BISNIS,I,6,9,3,18
TES-AKD-2026-01969,abyasafirm29@pln.co.id,Abyasa Firmansyah,TEKNIK INFORMATIKA,I,7,7,7,21
TES-AKD-2026-01970,mustofahut797@gmail.com,Mustofa Hutagalung,MANAJEMEN INVESTASI BANK,I,8,8,6,22
TES-AKD-2026-01971,malanasyia842@pln.co.id,Mala Nasyiah,DIGITAL MARKETING DAN ANALYTICS,I,5,6,7,18
TES-AKD-2026-01972,nadiaastut787@yahoo.com,Nadia Astuti,DIGITAL MARKETING DAN ANALYTICS,I,6,7,4,17
TES-AKD-2026-01973,kacungmahe744@outlook.com,Kacung Mahendra,HUKUM,II,5,9,3,17
TES-AKD-2026-01974,darmajisap361@gmail.com,Darmaji Saptono,TEKNIK GEODESI,I,7,7,8,22
TES-AKD-2026-01975,darunahali822@outlook.com,Daruna Halim,ADMINISTRASI BISNIS,I,7,5,6,18
TES-AKD-2026-01976,salwalaksm548@pln.co.id,Salwa Laksmiwati,ADMINISTRASI BISNIS,I,6,6,8,20
TES-AKD-2026-01977,dalimayuli17@yahoo.com,Dalima Yuliarti,TEKNIK ELEKTRO,I,8,6,8,22
TES-AKD-2026-01978,mulyantoha491@yahoo.com,Mulyanto Hakim,TEKNIK SIPIL,I,8,6,7,21
TES-AKD-2026-01979,pranatasit998@pln.co.id,Pranata Situmorang,AKUNTANSI,II,6,5,6,17
TES-AKD-2026-01980,citrafujia920@outlook.com,Citra Fujiati,MANAJEMEN ASET,II,6,7,6,19
TES-AKD-2026-01981,rahmiwahyu875@gmail.com,Rahmi Wahyuni,AKUNTANSI,II,7,4,6,17
TES-AKD-2026-01982,yusufsireg34@outlook.com,Yusuf Siregar,MANAJEMEN BISNIS,II,5,8,5,18
TES-AKD-2026-01983,kaniawulan458@pln.co.id,Kania Wulandari,DATA SCIENCE,I,6,8,4,18
TES-AKD-2026-01984,dianhasana778@pln.co.id,Dian Hasanah,TEKNIK MATERIAL,I,6,5,10,21
TES-AKD-2026-01985,jamalnugro878@pln.co.id,Jamal Nugroho,TEKNIK MATERIAL,II,6,7,9,22
TES-AKD-2026-01986,johansihom733@gmail.com,Johan Sihombing,BIG DATA DAN BUSINESS INTELLIGENCE,I,9,7,10,26
TES-AKD-2026-01987,kasiransar706@outlook.com,Kasiran Saragih,TEKNIK LISTRIK,I,8,6,7,21
TES-AKD-2026-01988,nadiamayas477@yahoo.com,Nadia Mayasari,HUKUM,I,6,8,6,20
TES-AKD-2026-01989,tamiutami627@outlook.com,Tami Utami,MANAJEMEN INVESTASI BANK,I,5,9,4,18
TES-AKD-2026-01990,agneswulan79@gmail.com,Agnes Wulandari,AKUNTANSI,I,8,6,6,20
TES-AKD-2026-01991,latikaokta389@pln.co.id,Latika Oktaviani,BIG DATA DAN BUSINESS INTELLIGENCE,III,10,4,5,19
TES-AKD-2026-01992,olivamardh649@pln.co.id,Oliva Mardhiyah,KOMUNIKASI,I,7,8,7,22
TES-AKD-2026-01993,warjibudim229@outlook.com,Warji Budiman,MATEMATIKA,III,8,7,9,24
TES-AKD-2026-01994,wadisuryon276@gmail.com,Wadi Suryono,TEKNIK INFORMATIKA,I,8,7,10,25
TES-AKD-2026-01995,elisamanda705@yahoo.com,Elisa Mandasari,AKUNTANSI,I,6,8,4,18
TES-AKD-2026-01996,kaniawinar309@yahoo.com,Kania Winarsih,DIGITAL MARKETING DAN ANALYTICS,II,9,6,6,21
TES-AKD-2026-01997,qoripadmas33@gmail.com,Qori Padmasari,MANAJEMEN RISIKO,II,7,4,6,17
TES-AKD-2026-01998,shaniamuly865@yahoo.com,Shania Mulyani,ENERGI BARU TERBARUKAN,I,6,8,6,20
TES-AKD-2026-01999,emanthamri538@outlook.com,Eman Thamrin,KESELAMATAN DAN KESEHATAN KERJA,II,7,7,8,22
TES-AKD-2026-02000,satyasarag456@gmail.com,Satya Saragih,KOMUNIKASI,I,3,6,3,12
TES-AKD-2026-02001,virmansiho686@outlook.com,Virman Sihotang,MANAJEMEN KEUANGAN,I,5,8,8,21
TES-AKD-2026-02002,lintangagu936@pln.co.id,Lintang Agustina,MANAJEMEN ASET,I,6,6,6,18
TES-AKD-2026-02003,puputpuspa539@gmail.com,Puput Puspasari,MANAJEMEN,I,5,8,7,20
TES-AKD-2026-02004,keziapalas752@gmail.com,Kezia Palastri,TEKNIK BIOENERGI,I,8,7,7,22
TES-AKD-2026-02005,raisarahim448@yahoo.com,Raisa Rahimah,KOMUNIKASI,II,9,5,4,18
TES-AKD-2026-02006,kenaridabu842@yahoo.com,Kenari Dabukke,DATA SCIENCE,II,6,6,8,20
TES-AKD-2026-02007,langgengma271@outlook.com,Langgeng Manullang,MANAJEMEN ASET,I,5,5,5,15
TES-AKD-2026-02008,janetnurdi781@yahoo.com,Janet Nurdiyanti,MANAJEMEN PROYEK,I,4,8,4,16
TES-AKD-2026-02009,artawanhut518@yahoo.com,Artawan Hutasoit,TEKNIK MESIN,III,10,5,5,20
TES-AKD-2026-02010,adikasireg703@yahoo.com,Adika Siregar,MANAJEMEN BISNIS,II,4,9,4,17
TES-AKD-2026-02011,queenwijay96@pln.co.id,Queen Wijayanti,MANAJEMEN BISNIS,I,6,5,9,20
TES-AKD-2026-02012,belindawas123@yahoo.com,Belinda Wastuti,SUPPLY CHAIN MANAGEMENT,I,4,6,4,14
TES-AKD-2026-02013,pujihassan127@yahoo.com,Puji Hassanah,TEKNIK BIOENERGI,II,6,7,9,22
TES-AKD-2026-02014,bagiyaprad344@yahoo.com,Bagiya Pradipta,ADMINISTRASI BISNIS,I,5,7,6,18
TES-AKD-2026-02015,rosmantamp468@yahoo.com,Rosman Tampubolon,TEKNIK KIMIA,I,9,7,7,23
TES-AKD-2026-02016,adinatamar28@gmail.com,Adinata Maryadi,ADMINISTRASI BISNIS,I,6,7,5,18
TES-AKD-2026-02017,elisawinar73@pln.co.id,Elisa Winarsih,DATA SCIENCE,I,8,6,6,20
TES-AKD-2026-02018,heryantosi721@outlook.com,Heryanto Situmorang,MANAJEMEN,III,2,7,6,15
TES-AKD-2026-02019,lurhurguna263@outlook.com,Lurhur Gunarto,HUKUM,I,8,10,7,25
TES-AKD-2026-02020,balidinmeg879@yahoo.com,Balidin Megantara,TEKNIK SIPIL,I,9,4,9,22
TES-AKD-2026-02021,maimunahpe82@gmail.com,Maimunah Permata,KEUANGAN,I,6,7,5,18
TES-AKD-2026-02022,kamidinpra758@outlook.com,Kamidin Prayoga,AKUNTANSI,II,6,7,6,19
TES-AKD-2026-02023,gaduhanggr466@gmail.com,Gaduh Anggriawan,TEKNIK GEOLOGI,I,5,6,7,18
TES-AKD-2026-02024,gandisuwar477@yahoo.com,Gandi Suwarno,ADMINISTRASI BISNIS,I,6,7,8,21
TES-AKD-2026-02025,kasiyahper93@gmail.com,Kasiyah Pertiwi,SUPPLY CHAIN MANAGEMENT,I,7,6,7,20
TES-AKD-2026-02026,salwamelan631@gmail.com,Salwa Melani,DIGITAL MARKETING DAN ANALYTICS,II,6,8,7,21
TES-AKD-2026-02027,titiwahyun939@pln.co.id,Titi Wahyuni,MANAJEMEN PROYEK,II,7,7,5,19
TES-AKD-2026-02028,balamantri150@gmail.com,Balamantri Jailani,MANAJEMEN RISIKO,I,9,7,5,21
TES-AKD-2026-02029,dianakusma112@outlook.com,Diana Kusmawati,TEKNIK BIOENERGI,I,8,7,8,23
TES-AKD-2026-02030,karyanatsi376@pln.co.id,Karya Natsir,ENERGI BARU TERBARUKAN,II,5,9,6,20
TES-AKD-2026-02031,putriyulia481@outlook.com,Putri Yuliarti,MANAJEMEN PEMASARAN,II,5,7,7,19
TES-AKD-2026-02032,putinasyia915@yahoo.com,Puti Nasyiah,MANAJEMEN KEUANGAN,I,5,8,7,20
TES-AKD-2026-02033,umayapange613@gmail.com,Umaya Pangestu,AKUNTANSI,I,4,5,6,15
TES-AKD-2026-02034,nadiawidia438@yahoo.com,Nadia Widiastuti,ELEKTRONIKA DAN INSTRUMENTASI,II,5,6,8,19
TES-AKD-2026-02035,ridwannugr185@gmail.com,Ridwan Nugroho,PUBLIC POLICY,I,6,6,5,17
TES-AKD-2026-02036,salmanlazu823@outlook.com,Salman Lazuardi,MANAJEMEN ASET,I,4,6,7,17
TES-AKD-2026-02037,nabilawina644@pln.co.id,Nabila Winarsih,MANAJEMEN KEUANGAN,I,7,4,8,19
TES-AKD-2026-02038,gildawulan897@gmail.com,Gilda Wulandari,TEKNIK INFORMATIKA,I,8,5,8,21
TES-AKD-2026-02039,indraprada523@pln.co.id,Indra Pradana,MANAJEMEN ASET,II,7,8,5,20
TES-AKD-2026-02040,nalarmahes537@outlook.com,Nalar Maheswara,ADMINISTRASI,I,8,10,6,24
TES-AKD-2026-02041,marsuditam493@yahoo.com,Marsudi Tampubolon,MANAJEMEN BISNIS,I,4,6,5,15
TES-AKD-2026-02042,capawasita525@gmail.com,Capa Wasita,KESELAMATAN DAN KESEHATAN KERJA,I,7,3,5,15
TES-AKD-2026-02043,yuliarahma580@outlook.com,Yulia Rahmawati,AKUNTANSI,I,7,5,4,16
TES-AKD-2026-02044,wulanharta148@yahoo.com,Wulan Hartati,ENERGI BARU TERBARUKAN,I,5,4,6,15
TES-AKD-2026-02045,parismayas526@gmail.com,Paris Mayasari,TEKNIK SIPIL,II,7,5,9,21
TES-AKD-2026-02046,xananahard457@gmail.com,Xanana Hardiansyah,TEKNIK ELEKTRO,I,5,8,9,22
TES-AKD-2026-02047,argonosara821@yahoo.com,Argono Saragih,TEKNIK GEODESI,I,9,6,5,20
TES-AKD-2026-02048,jamalprase127@gmail.com,Jamal Prasetyo,TEKNIK MESIN,II,7,6,8,21
TES-AKD-2026-02049,paramitape809@gmail.com,Paramita Pertiwi,ADMINISTRASI BISNIS,I,8,6,6,20
TES-AKD-2026-02050,luwarnajmu191@gmail.com,Luwar Najmudin,TEKNIK BIOENERGI,I,5,7,6,18
TES-AKD-2026-02051,eliyolanda801@pln.co.id,Eli Yolanda,TEKNIK GEODESI,I,8,4,8,20
TES-AKD-2026-02052,bagyanapit669@yahoo.com,Bagya Napitupulu,KONVERSI ENERGI,I,4,3,6,13
TES-AKD-2026-02053,edwardrama878@yahoo.com,Edward Ramadan,HUKUM,I,7,7,7,21
TES-AKD-2026-02054,kuntharais350@pln.co.id,Kunthara Iswahyudi,KOMUNIKASI,I,7,7,8,22
TES-AKD-2026-02055,sitiuyaina434@gmail.com,Siti Uyainah,TEKNIK MATERIAL,I,7,8,8,23
TES-AKD-2026-02056,anamaryati147@yahoo.com,Ana Maryati,KONVERSI ENERGI,II,4,8,6,18
TES-AKD-2026-02057,evautami612@pln.co.id,Eva Utami,ADMINISTRASI BISNIS,I,6,7,7,20
TES-AKD-2026-02058,emilhabibi366@yahoo.com,Emil Habibi,AKUNTANSI,I,7,6,8,21
