ID_PENDAFTARAN,NAMA REKRUTMEN,JENJANG,USIA,PRODI,JURUSAN ASAL PERGURUAN TINGGI / SEKOLAH,NEM/IPK,GELAR,JENIS KELAMIN,NAMA,AGAMA,STATUS,NO KTP,NO PONSEL,EMAIL,TAHUN LAHIR,BULAN LAHIR,TANGGAL LAHIR,TEMPAT LAHIR,KOTA KTP,ALAMAT KTP,KODE POS,TAHUN LULUS SMA,TAHUN MASUK SMA,TAHUN LULUS SMP,TAHUN MASUK SMP,TAHUN LULUS SD,TAHUN MASUK SD,ASAL SD/KOTA,ASAL SMP/KOTA,ASAL SMA/KOTA,UKURAN BAJU,UKURAN SEPATU,UKURAN CELANA,VERIFIKATOR,UMUR,STATUS NIKAH,IPK,JURUSAN,KTP,AKTA,IJAZAH,TRANSKRIP,ENGLISH SKILL
REG-2026-03042,REKRUTMEN PLN GROUP TINGKAT S2 DIASPORA FRESH GRADUATE,S2,24,Seni Musik,Universitas Halu Oleo,3.4,M.M.,Laki-laki,Kayun Narpati,Islam,Belum Kawin,9569771662800537,+62 (058) 613 9148,kayunnarpa595@outlook.com,2002,5,3,Sukabumi,Sukabumi,Jalan Cempaka No. 01,81166,2020,2017,2017,2014,2014,2008,Probolinggo,Gorontalo,Solok,L,39,36,Andi Wijaya,1,1,1,0,1,1,1,1,1
REG-2026-03043,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,23,SUPPLY CHAIN MANAGEMENT,Universitas Padjadjaran,3.77,S.E.,Laki-laki,Wira Suryono,Islam,Belum Kawin,3161484841093935,(0796) 140 0279,wirasuryon844@outlook.com,2003,4,21,Lhokseumawe,Lhokseumawe,Jalan Erlangga No. 43,35268,2021,2018,2018,2015,2015,2009,Jayapura,Subulussalam,Kota Administrasi Jakarta Utara,XXL,39,30,Dewi Lestari,1,1,1,1,1,1,1,1,1
REG-2026-03044,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,21,ENERGI BARU TERBARUKAN,Universitas Syiah Kuala,3.24,S.E.,Perempuan,Dian Fujiati,Kristen,Belum Kawin,1942025998413127,(004) 103 1377,dianfujiat379@pln.co.id,2005,12,28,Bekasi,Bekasi,Gg. Rumah Sakit No. 708,60892,2023,2020,2020,2017,2017,2011,Kota Administrasi Jakarta Barat,Kendari,Serang,XXXL,43,40,Maya Kusuma,1,1,1,1,1,1,1,1,1
REG-2026-03045,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,24,PUBLIC POLICY,Universitas Negeri Yogyakarta,3.5,M.M.,Perempuan,Samiah Andriani,Islam,Belum Kawin,0380891873074553,(0014) 658-7326,samiahandr332@outlook.com,2002,1,28,Meulaboh,Meulaboh,Gang Kendalsari No. 434,15234,2020,2017,2017,2014,2014,2008,Balikpapan,Purwokerto,Salatiga,XXXL,41,42,Dewi Lestari,1,1,1,1,1,1,1,1,1
REG-2026-03046,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,25,PROGRAM STUDI LAINNYA NON TEKNIK,Universitas Hasanuddin,3.27,A.Md.T.,Laki-laki,Adhiarja Suwarno,Islam,Belum Kawin,5823744750596045,(0207) 344 4760,adhiarjasu530@outlook.com,2001,8,23,Sibolga,Sibolga,Gg. W.R. Supratman No. 9,64346,2019,2016,2016,2013,2013,2007,Padang Sidempuan,Pekanbaru,Surabaya,XL,41,35,Rudi Haryanto,1,1,1,1,1,1,1,1,1
REG-2026-03047,REKRUTMEN PLN GROUP DIRECT SHOPPING,S1,21,KESELAMATAN DAN KESEHATAN KERJA,Universitas Pendidikan Indonesia,3.4,S.E.,Laki-laki,Emil Marpaung,Islam,Belum Kawin,5329405767091900,+62 (41) 742-5587,emilmarpau613@yahoo.com,2005,8,22,Palembang,Palembang,Jl. Rumah Sakit No. 07,52179,2023,2020,2020,2017,2017,2011,Palopo,Ambon,Tidore Kepulauan,S,38,35,Eko Prasetyo,1,1,1,1,1,1,1,1,1
REG-2026-03048,REKRUTMEN PUTRA-PUTRI ASLI PAPUA,D3,25,AKUNTANSI,Universitas Pendidikan Indonesia,3.77,A.Md.,Perempuan,Raina Purwanti,Islam,Belum Kawin,1304743022381696,0871759982,rainapurwa289@pln.co.id,2001,2,9,Timika,Timika,Gg. Cempaka No. 8,91410,2019,2016,2016,2013,2013,2007,Lubuklinggau,Pagaralam,Purwokerto,M,43,27,Eko Prasetyo,1,1,1,1,1,1,1,1,1
REG-2026-03049,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,25,MATEMATIKA,Universitas Hasanuddin,3.52,S.E.,Perempuan,Jasmin Andriani,Kristen,Belum Kawin,1762491231148401,+62 (077) 566 1663,jasminandr825@gmail.com,2001,4,17,Tangerang,Tangerang,Gang Ir. H. Djuanda No. 9,00230,2019,2016,2016,2013,2013,2007,Cirebon,Kendari,Sawahlunto,M,38,28,Maya Kusuma,1,1,1,1,1,1,1,1,1
REG-2026-03050,REKRUTMEN PLN GROUP TINGKAT S1 DIASPORA FRESH GRADUATE,S1,24,KOMUNIKASI,BINUS University,3.23,S.E.,Perempuan,Paris Nuraini,Islam,Belum Kawin,2013930176525658,0803288852,parisnurai327@pln.co.id,2002,11,24,Semarang,Semarang,Jl. Ahmad Yani No. 71,77595,2020,2017,2017,2014,2014,2008,Cimahi,Jambi,Malang,XL,42,29,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-03051,REKRUTMEN PUTRA-PUTRI ASLI PAPUA,D3,23,KEUANGAN,Universitas Muhammadiyah Yogyakarta,3.35,A.Md.,Perempuan,Ulya Palastri,Islam,Belum Kawin,4809161241621677,+62-048-103-8031,ulyapalast676@outlook.com,2003,10,26,Wamena,Wamena,Gg. Kutisari Selatan No. 051,66073,2021,2018,2018,2015,2015,2009,Bukittinggi,Pekalongan,Palembang,XXXL,43,29,Siti Aminah,1,1,1,1,1,1,1,1,1
REG-2026-03052,Rekrutmen PLN Group Tingkat S2 Pro Hire,S2,28,MANAJEMEN PROYEK,Universitas Sumatera Utara,3.96,M.M.,Perempuan,Yuliana Winarsih,Islam,Belum Kawin,6795946122044985,+62-0052-820-2038,yulianawin430@gmail.com,1998,10,24,Cilegon,Cilegon,Gg. Suryakencana No. 0,88220,2016,2013,2013,2010,2010,2004,Pekanbaru,Tual,Kupang,S,36,32,Rudi Haryanto,1,1,1,1,1,1,1,1,1
REG-2026-03053,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,25,PROGRAM STUDI LAINNYA NON TEKNIK,Universitas Negeri Padang,3.02,A.Md.T.,Laki-laki,Maras Hutagalung,Islam,Belum Kawin,6511208574146847,(0103) 438 7678,marashutag705@gmail.com,2001,2,27,Palu,Palu,Gg. Suryakencana No. 788,32935,2019,2016,2016,2013,2013,2007,Binjai,Padangpanjang,Bandar Lampung,XXXL,42,38,Dewi Lestari,1,1,1,1,1,1,1,1,1
REG-2026-03054,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,28,TEKNIK KIMIA,Universitas Gadjah Mada,3.35,M.M.,Perempuan,Kani Nasyidah,Islam,Kawin,7069374063405544,(010) 699-1380,kaninasyid688@gmail.com,1998,1,7,Palu,Palu,Gang Rawamangun No. 763,81728,2016,2013,2013,2010,2010,2004,Pekalongan,Surakarta,Palopo,XXXL,41,32,Eko Prasetyo,1,1,1,1,1,1,1,1,1
REG-2026-03055,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,27,ADMINISTRASI BISNIS,Universitas Diponegoro,3.08,M.M.,Perempuan,Laras Purwanti,Islam,Kawin,7156325841144925,(075) 753 3246,laraspurwa802@gmail.com,1999,12,13,Banjarbaru,Banjarbaru,Gg. Monginsidi No. 45,15124,2017,2014,2014,2011,2011,2005,Balikpapan,Tegal,Padang,XXXL,43,42,Dewi Lestari,1,1,1,1,1,1,1,1,1
REG-2026-03056,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,23,ADMINISTRASI,Universitas Diponegoro,3.54,A.Md.,Laki-laki,Purwanto Saragih,Islam,Belum Kawin,1115376440796582,+62 (748) 533 4222,purwantosa868@outlook.com,2003,6,24,Tanjungpinang,Tanjungpinang,Gg. Raya Setiabudhi No. 97,03119,2021,2018,2018,2015,2015,2009,Bau-Bau,Sawahlunto,Magelang,XXXL,40,37,Lina Marlina,1,1,1,1,1,1,1,1,1
REG-2026-03057,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,25,MANAJEMEN PEMASARAN,Universitas Hasanuddin,3.4,S.E.,Laki-laki,Cawisadi Uwais,Islam,Belum Kawin,8845886799072329,+62 (518) 032 1939,cawisadiuw242@gmail.com,2001,12,21,Surakarta,Surakarta,Gang Peta No. 1,39591,2019,2016,2016,2013,2013,2007,Cirebon,Kota Administrasi Jakarta Utara,Probolinggo,S,37,36,Andi Wijaya,1,1,1,1,1,1,1,1,1
REG-2026-03058,REKRUTMEN PLN GROUP PUTRA-PUTRI ASLI MALUKU DAN NUSA TENGGARA,S1,24,TEKNIK LINGKUNGAN,Universitas Trisakti,3.02,S.T.,Laki-laki,Unggul Waskita,Islam,Belum Kawin,4571843815761760,(0815) 337 0061,unggulwask955@yahoo.com,2002,2,4,Bima,Bima,Gang Veteran No. 4,47890,2020,2017,2017,2014,2014,2008,Prabumulih,Sawahlunto,Lhokseumawe,S,39,32,Dewi Lestari,1,1,1,1,1,1,1,1,1
REG-2026-03059,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,26,SUPPLY CHAIN MANAGEMENT,Universitas Airlangga,3.54,M.M.,Laki-laki,Warsa Budiman,Islam,Kawin,3985580935950524,0834755951,warsabudim655@yahoo.com,2000,3,9,Langsa,Langsa,Gang Waringin No. 0,97110,2018,2015,2015,2012,2012,2006,Bau-Bau,Cimahi,Surakarta,XXXL,39,41,Lina Marlina,1,1,1,1,1,1,1,1,1
REG-2026-03060,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,22,KOMUNIKASI,Universitas Sumatera Utara,3.01,S.E.,Laki-laki,Utama Wahyudin,Islam,Belum Kawin,0580397308419100,+62-958-758-4040,utamawahyu493@gmail.com,2004,6,24,Padang,Padang,Gang Cikutra Barat No. 759,78105,2022,2019,2019,2016,2016,2010,Pontianak,Tual,Batu,M,43,40,Ratna Sari,1,1,1,1,1,1,1,1,1
REG-2026-03061,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,27,HUKUM,Institut Teknologi Bandung,3.21,M.M.,Perempuan,Ratna Utami,Islam,Kawin,2312927390866945,+62 (0284) 677 2232,ratnautami936@outlook.com,1999,3,9,Solok,Solok,Jl. Dipenogoro No. 375,51690,2017,2014,2014,2011,2011,2005,Kota Administrasi Jakarta Barat,Tanjungpinang,Tanjungpinang,XXXL,45,31,Andi Wijaya,1,1,1,1,1,1,1,1,1
REG-2026-03062,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,25,Pendidikan Sejarah,Universitas Sebelas Maret,3.9,M.M.,Perempuan,Maimunah Oktaviani,Islam,Belum Kawin,9059943005571076,+62 (59) 111 0802,maimunahok847@yahoo.com,2001,1,25,Banjar,Banjar,Gang Dipatiukur No. 10,80961,2019,2016,2016,2013,2013,2007,Payakumbuh,Pasuruan,Bengkulu,XXL,38,29,Maya Kusuma,1,1,1,0,1,1,1,1,1
REG-2026-03063,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,28,HUKUM,Institut Teknologi Sepuluh Nopember,3.24,M.M.,Laki-laki,Cager Pranowo,Islam,Kawin,8337822185503576,+62 (72) 930 9689,cagerprano545@gmail.com,1998,10,3,Sukabumi,Sukabumi,Gang Yos Sudarso No. 85,67817,2016,2013,2013,2010,2010,2004,Batu,Pontianak,Subulussalam,XXXL,37,31,Fajar Kurniawan,1,1,1,1,1,1,1,1,1
REG-2026-03064,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,25,TEKNIK KIMIA,Universitas Pendidikan Indonesia,3.93,S.T.,Perempuan,Faizah Nasyiah,Islam,Belum Kawin,9859658251729867,+62 (27) 493-1217,faizahnasy649@pln.co.id,2001,1,27,Metro,Metro,Jl. Dr. Djunjunan No. 0,39889,2019,2016,2016,2013,2013,2007,Batu,Tomohon,Tomohon,L,38,39,Lina Marlina,1,1,1,1,1,1,1,1,1
REG-2026-03065,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,28,ENERGI BARU TERBARUKAN,Institut Teknologi Bandung,3.11,M.M.,Perempuan,Unjani Laksmiwati,Islam,Kawin,3934544720947634,+62-009-486-6892,unjanilaks732@gmail.com,1998,9,10,Tasikmalaya,Tasikmalaya,Jl. Kendalsari No. 726,76363,2016,2013,2013,2010,2010,2004,Kota Administrasi Jakarta Barat,Sawahlunto,Semarang,XXXL,36,29,Dewi Lestari,1,1,1,1,1,1,1,1,1
REG-2026-03066,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,22,TEKNIK MESIN,Universitas Indonesia,3.55,S.T.,Laki-laki,Anggabaya Nababan,Islam,Belum Kawin,5899255272171318,0862892148,anggabayan825@outlook.com,2004,11,6,Pekanbaru,Pekanbaru,Jl. Ahmad Dahlan No. 263,05317,2022,2019,2019,2016,2016,2010,Depok,Kupang,Bengkulu,XXL,36,29,Andi Wijaya,1,1,1,1,1,1,1,1,1
REG-2026-03067,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,21,MANAJEMEN,Universitas Muhammadiyah Yogyakarta,3.06,A.Md.,Laki-laki,Harjaya Saefullah,Islam,Belum Kawin,2276049674345329,+62-021-804-4360,harjayasae933@yahoo.com,2005,10,19,Gorontalo,Gorontalo,Gg. Pasirkoja No. 4,34686,2023,2020,2020,2017,2017,2011,Depok,Purwokerto,Solok,M,44,30,Rudi Haryanto,1,1,1,1,1,1,1,1,1
REG-2026-03068,Rekrutmen PLN Group Tingkat S2 Pro Hire,S2,28,MANAJEMEN INVESTASI BANK,Universitas Airlangga,3.53,M.M.,Laki-laki,Usman Hutapea,Hindu,Belum Kawin,7667548189144456,+62 (33) 288-8637,usmanhutap685@gmail.com,1998,9,4,Dumai,Dumai,Gg. Erlangga No. 3,48591,2016,2013,2013,2010,2010,2004,Tidore Kepulauan,Binjai,Kota Administrasi Jakarta Barat,S,36,28,Lina Marlina,1,1,1,1,1,1,1,1,1
REG-2026-03069,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,24,TEKNIK ELEKTRO,Universitas Hasanuddin,3.05,S.T.,Perempuan,Nilam Pratiwi,Islam,Belum Kawin,8463215423893118,+62 (049) 019-8054,nilamprati361@outlook.com,2002,12,3,Jambi,Jambi,Gg. Erlangga No. 122,42992,2020,2017,2017,2014,2014,2008,Tarakan,Cirebon,Dumai,XXL,39,39,Rudi Haryanto,1,1,1,1,1,1,1,1,1
REG-2026-03070,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,24,TEKNIK INDUSTRI,Universitas Hasanuddin,3.93,A.Md.T.,Perempuan,Paris Haryanti,Islam,Belum Kawin,6508718453874002,(0185) 320-6707,parisharya219@gmail.com,2002,11,16,Tegal,Tegal,Jalan Rajiman No. 802,50208,2020,2017,2017,2014,2014,2008,Kota Administrasi Jakarta Barat,Samarinda,Bitung,XXL,36,33,Eko Prasetyo,1,1,1,1,1,1,1,1,1
REG-2026-03071,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,25,TEKNIK KIMIA,Institut Teknologi Nasional,3.28,S.T.,Laki-laki,Gambira Natsir,Islam,Belum Kawin,3271670619508046,(069) 687 8369,gambiranat935@yahoo.com,2001,6,25,Langsa,Langsa,Gang Wonoayu No. 861,80268,2019,2016,2016,2013,2013,2007,Dumai,Pekanbaru,Bogor,XXXL,38,35,Lina Marlina,1,1,1,1,1,1,1,1,1
REG-2026-03072,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,23,MANAJEMEN,Universitas Muhammadiyah Yogyakarta,3.37,A.Md.,Perempuan,Rachel Mulyani,Islam,Belum Kawin,0820189727432854,+62-48-744-6593,rachelmuly425@yahoo.com,2003,9,27,Payakumbuh,Payakumbuh,Jalan Pelajar Pejuang No. 65,58064,2021,2018,2018,2015,2015,2009,Pematangsiantar,Bukittinggi,Batam,XL,44,27,Fajar Kurniawan,1,1,1,1,1,1,1,1,1
REG-2026-03073,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,22,ADMINISTRASI BISNIS,Universitas Gadjah Mada,3.33,S.E.,Laki-laki,Kuncara Widodo,Islam,Belum Kawin,6127267250004046,+62 (96) 984 1555,kuncarawid824@yahoo.com,2004,11,12,Solok,Solok,Gg. Kiaracondong No. 21,27559,2022,2019,2019,2016,2016,2010,Pasuruan,Bekasi,Tangerang,M,36,41,Maya Kusuma,1,1,1,1,1,1,1,1,1
REG-2026-03074,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,21,AKUNTANSI,Universitas Trisakti,3.74,S.E.,Laki-laki,Cakrawala Nashiruddin,Buddha,Belum Kawin,9943986253815075,+62 (010) 143 4063,cakrawalan893@gmail.com,2005,6,17,Ternate,Ternate,Jl. Surapati No. 4,58846,2023,2020,2020,2017,2017,2011,Sukabumi,Mataram,Palu,S,40,31,Maya Kusuma,1,1,1,1,1,1,1,1,1
REG-2026-03075,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,21,ADMINISTRASI BISNIS,Universitas Padjadjaran,3.33,S.E.,Perempuan,Paris Laksmiwati,Katolik,Belum Kawin,3217958169022686,(0336) 795 0201,parislaksm566@pln.co.id,2005,8,9,Gorontalo,Gorontalo,Gg. Dr. Djunjunan No. 0,50509,2023,2020,2020,2017,2017,2011,Pasuruan,Bontang,Pontianak,L,38,32,Maya Kusuma,1,1,1,1,1,1,1,1,1
REG-2026-03076,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,23,TEKNIK LINGKUNGAN,Universitas Muhammadiyah Yogyakarta,3.99,S.T.,Laki-laki,Putu Anggriawan,Islam,Belum Kawin,1842847693868390,+62-689-151-2778,putuanggri53@outlook.com,2003,12,15,Mojokerto,Mojokerto,Gg. Jakarta No. 1,29884,2021,2018,2018,2015,2015,2009,Bekasi,Tanjungpinang,Tomohon,XL,39,28,Rudi Haryanto,1,1,1,1,1,1,1,1,1
REG-2026-03077,REKRUTMEN PLN GROUP DIRECT SHOPPING,S1,21,TEKNIK ELEKTRO,Universitas Sumatera Utara,3.34,S.T.,Perempuan,Yani Yuniar,Islam,Belum Kawin,3548447391725729,(0444) 534-8413,yaniyuniar939@gmail.com,2005,12,14,Lubuklinggau,Lubuklinggau,Jalan HOS. Cokroaminoto No. 91,32687,2023,2020,2020,2017,2017,2011,Banjar,Blitar,Bogor,XXXL,41,36,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-03078,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,25,MANAJEMEN RISIKO,BINUS University,3.67,M.M.,Laki-laki,Rahmat Kuswoyo,Islam,Belum Kawin,7135295756772849,+62 (04) 552-5326,rahmatkusw606@yahoo.com,2001,2,25,Mojokerto,Mojokerto,Gang Pasir Koja No. 0,94793,2019,2016,2016,2013,2013,2007,Banda Aceh,Bima,Sabang,XL,39,29,Fajar Kurniawan,1,1,1,1,1,1,1,1,1
REG-2026-03079,REKRUTMEN PLN GROUP TINGKAT S1 DIASPORA FRESH GRADUATE,S1,24,TEKNIK ELEKTRO,Universitas Padjadjaran,3.2,S.T.,Perempuan,Mutia Puspita,Islam,Belum Kawin,1544450226020470,(097) 108 7251,mutiapuspi692@pln.co.id,2002,10,25,Kota Administrasi Jakarta Utara,Kota Administrasi Jakarta Utara,Jl. Ir. H. Djuanda No. 0,76132,2020,2017,2017,2014,2014,2008,Bukittinggi,Ambon,Pekalongan,XXL,41,41,Fajar Kurniawan,1,1,1,1,1,1,1,1,1
REG-2026-03080,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,23,TEKNIK LISTRIK,IPB University,3.75,S.T.,Perempuan,Zulaikha Wahyuni,Katolik,Belum Kawin,8917318825463467,+62 (398) 426-4801,zulaikhawa496@outlook.com,2003,7,2,Tangerang Selatan,Tangerang Selatan,Jalan Cempaka No. 44,94728,2021,2018,2018,2015,2015,2009,Bogor,Palembang,Bitung,M,43,27,Eko Prasetyo,1,1,1,1,1,1,1,1,1
REG-2026-03081,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,28,TEKNIK ELEKTRO,Universitas Diponegoro,3.16,M.M.,Laki-laki,Lukita Firgantoro,Islam,Kawin,6816892528042191,(0776) 990-4823,lukitafirg249@pln.co.id,1998,4,28,Banda Aceh,Banda Aceh,Jalan Indragiri No. 8,91026,2016,2013,2013,2010,2010,2004,Mataram,Manado,Bitung,XXXL,38,28,Dewi Lestari,1,1,1,1,1,1,1,1,1
REG-2026-03082,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,24,MANAJEMEN,IPB University,3.69,S.E.,Laki-laki,Hartana Simanjuntak,Islam,Belum Kawin,0048942867616686,+62 (451) 640 6865,hartanasim481@yahoo.com,2002,6,27,Mojokerto,Mojokerto,Jl. Otto Iskandardinata No. 69,37460,2020,2017,2017,2014,2014,2008,Tegal,Palu,Pagaralam,XXL,38,32,Dewi Lestari,1,1,1,1,1,1,1,1,1
REG-2026-03083,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,26,TEKNIK KIMIA,Universitas Padjadjaran,3.33,M.M.,Perempuan,Ida Fujiati,Islam,Kawin,9569269538395885,+62-46-206-2468,idafujiati356@pln.co.id,2000,1,9,Tangerang Selatan,Tangerang Selatan,Jl. Cikutra Timur No. 09,04730,2018,2015,2015,2012,2012,2006,Pagaralam,Pekanbaru,Kota Administrasi Jakarta Pusat,S,40,38,Siti Aminah,1,1,1,1,1,1,1,1,1
REG-2026-03084,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,26,MANAJEMEN PEMASARAN,Universitas Muhammadiyah Yogyakarta,3.04,M.M.,Perempuan,Indah Hartati,Islam,Belum Kawin,8001460093787643,+62-472-169-9338,indahharta549@gmail.com,2000,2,4,Banda Aceh,Banda Aceh,Gg. Kutisari Selatan No. 333,03440,2018,2015,2015,2012,2012,2006,Padang Sidempuan,Bima,Jayapura,XXL,38,38,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-03085,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,28,HUKUM,Universitas Hasanuddin,3.88,M.M.,Perempuan,Uchita Laksita,Islam,Kawin,2364873266646177,0858470961,uchitalaks988@pln.co.id,1998,6,7,Singkawang,Singkawang,Jalan Otto Iskandardinata No. 348,01059,2016,2013,2013,2010,2010,2004,Pontianak,Mataram,Kotamobagu,XL,43,36,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-03086,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,22,TEKNIK MESIN,Universitas Pendidikan Indonesia,3.01,A.Md.T.,Perempuan,Zahra Fujiati,Islam,Belum Kawin,9639274185315487,+62-25-162-9634,zahrafujia600@gmail.com,2004,9,10,Kotamobagu,Kotamobagu,Jalan Rajiman No. 00,40760,2022,2019,2019,2016,2016,2010,Metro,Tangerang Selatan,Lubuklinggau,XL,43,27,Siti Aminah,1,1,1,1,1,1,1,1,1
REG-2026-03087,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,21,ADMINISTRASI BISNIS,Universitas Hasanuddin,3.85,A.Md.,Laki-laki,Ganep Nainggolan,Islam,Belum Kawin,1559585875569382,(043) 389-8714,ganepnaing683@yahoo.com,2005,11,18,Kota Administrasi Jakarta Barat,Kota Administrasi Jakarta Barat,Jalan Ahmad Yani No. 00,24824,2023,2020,2020,2017,2017,2011,Jayapura,Bitung,Sungai Penuh,M,43,41,Lina Marlina,1,1,1,1,1,1,1,1,1
REG-2026-03088,REKRUTMEN PLN GROUP DIRECT SHOPPING,D3,23,TEKNIK MESIN,Universitas Halu Oleo,3.05,A.Md.T.,Laki-laki,Cager Sihombing,Katolik,Kawin,5961390341646528,+62 (129) 706 3943,cagersihom552@yahoo.com,2003,5,22,Kota Administrasi Jakarta Selatan,Kota Administrasi Jakarta Selatan,Jl. Siliwangi No. 2,51919,2021,2018,2018,2015,2015,2009,Lubuklinggau,Bima,Mojokerto,XL,40,40,Siti Aminah,1,0,1,1,1,1,1,1,1
REG-2026-03089,REKRUTMEN PLN GROUP TINGKAT S2 DIASPORA FRESH GRADUATE,S2,24,DIGITAL MARKETING DAN ANALYTICS,Universitas Diponegoro,3.82,M.M.,Perempuan,Novi Permata,Islam,Belum Kawin,2615277656733412,(0511) 973-1442,novipermat975@outlook.com,2002,9,27,Pagaralam,Pagaralam,Jl. Raya Setiabudhi No. 408,38350,2020,2017,2017,2014,2014,2008,Bontang,Manado,Tangerang,L,40,30,Fajar Kurniawan,1,1,1,1,1,1,1,1,1
REG-2026-03090,REKRUTMEN PLN GROUP PUTRA-PUTRI ASLI MALUKU DAN NUSA TENGGARA,S1,25,Sastra Inggris,Universitas Trisakti,3.91,S.E.,Perempuan,Ilsa Sudiati,Kristen,Belum Kawin,0937369464611087,+62 (421) 679 6821,ilsasudiat617@gmail.com,2001,9,22,Maumere,Maumere,Gg. Erlangga No. 04,72888,2019,2016,2016,2013,2013,2007,Tasikmalaya,Padangpanjang,Medan,XXL,44,40,Siti Aminah,1,1,1,0,1,1,1,1,1
REG-2026-03091,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,25,SUPPLY CHAIN MANAGEMENT,Universitas Lambung Mangkurat,3.8,S.E.,Laki-laki,Ajiono Maheswara,Islam,Belum Kawin,9357007649198842,(0391) 596 0590,ajionomahe516@outlook.com,2001,9,21,Palu,Palu,Gang Ahmad Dahlan No. 4,77447,2019,2016,2016,2013,2013,2007,Depok,Bekasi,Tomohon,M,45,39,Maya Kusuma,1,1,1,1,1,1,1,1,1
REG-2026-03092,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,25,MANAJEMEN,Institut Teknologi Nasional,3.16,S.E.,Laki-laki,Warta Adriansyah,Islam,Belum Kawin,2069606557701569,(013) 156 2357,wartaadria631@yahoo.com,2001,10,10,Kupang,Kupang,Gg. Cikutra Timur No. 97,80150,2019,2016,2016,2013,2013,2007,Sorong,Kupang,Mataram,M,42,29,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-03093,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,25,DATA SCIENCE,IPB University,3.58,S.T.,Laki-laki,Nugraha Anggriawan,Islam,Belum Kawin,0013868125894563,(0480) 145 1766,nugrahaang772@yahoo.com,2001,10,27,Bengkulu,Bengkulu,Jl. Rawamangun No. 3,30421,2019,2016,2016,2013,2013,2007,Cirebon,Probolinggo,Kota Administrasi Jakarta Pusat,L,42,41,Fajar Kurniawan,1,1,1,1,1,1,1,1,1
REG-2026-03094,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,23,MANAJEMEN PEMASARAN,Universitas Padjadjaran,3.89,S.E.,Perempuan,Siska Lestari,Hindu,Belum Kawin,3600094799779792,+62 (389) 415 2738,siskalesta321@yahoo.com,2003,6,14,Kupang,Kupang,Jl. Gardujati No. 826,98289,2021,2018,2018,2015,2015,2009,Langsa,Kota Administrasi Jakarta Barat,Balikpapan,XXL,43,37,Andi Wijaya,1,1,1,1,1,1,1,1,1
