NO TES,EMAIL,NAMA,PRODI,Ak Jawaban Benar,Ak Jawaban Salah,Ak Jawaban Kosong,Ak Skor,En Jawaban Benar,En Jawaban Salah,En Jawaban Kosong,En Skor,TOTAL SKOR AKDING
TES-AKD-2026-01323,taliawijay516@yahoo.com,Talia Wijayanti,KEUANGAN,24,26,0,70,26,22,2,82,152
TES-AKD-2026-01324,halimsireg636@yahoo.com,Halim Siregar,ADMINISTRASI BISNIS,32,13,5,115,28,19,3,93,208
TES-AKD-2026-01325,syahrinian270@pln.co.id,Syahrini Andriani,DATA SCIENCE,34,11,5,125,27,18,5,90,215
TES-AKD-2026-01326,haninovita442@gmail.com,Hani Novitasari,TEKNIK PERTAMBANGAN,33,13,4,119,24,26,0,70,189
TES-AKD-2026-01327,warjianggr932@yahoo.com,Warji Anggriawan,TEKNIK SIPIL,29,17,4,99,29,20,1,96,195
TES-AKD-2026-01328,caketmaula405@gmail.com,Caket Maulana,TEKNIK LINGKUNGAN,44,6,0,170,44,6,0,170,340
TES-AKD-2026-01329,jasmanihak738@pln.co.id,Jasmani Hakim,ADMINISTRASI BISNIS,21,25,4,59,30,18,2,102,161
TES-AKD-2026-01330,anihastuti44@gmail.com,Ani Hastuti,MANAJEMEN RISIKO,39,7,4,149,42,6,2,162,311
TES-AKD-2026-01331,endahhanda301@gmail.com,Endah Handayani,ADMINISTRASI BISNIS,34,13,3,123,29,21,0,95,218
TES-AKD-2026-01332,respatizul758@yahoo.com,Respati Zulkarnain,SAFETY ENGINEERING,39,7,4,149,22,27,1,61,210
TES-AKD-2026-01333,cakrawangs660@outlook.com,Cakrawangsa Putra,TEKNIK SIPIL,39,10,1,146,24,22,4,74,220
TES-AKD-2026-01334,bakijansir169@yahoo.com,Bakijan Sirait,TEKNIK ELEKTRO,35,11,4,129,39,11,0,145,274
TES-AKD-2026-01335,saadatsina404@outlook.com,Saadat Sinaga,MANAJEMEN,26,19,5,85,27,20,3,88,173
TES-AKD-2026-01336,rainaharta311@yahoo.com,Raina Hartati,MANAJEMEN BISNIS,27,19,4,89,25,24,1,76,165
TES-AKD-2026-01337,artadabukk731@pln.co.id,Arta Dabukke,PUBLIC POLICY,40,10,0,150,33,15,2,117,267
TES-AKD-2026-01338,hildapuspi836@pln.co.id,Hilda Puspita,SUPPLY CHAIN MANAGEMENT,28,18,4,94,24,25,1,71,165
TES-AKD-2026-01339,herugunart298@gmail.com,Heru Gunarto,ENERGI BARU TERBARUKAN,25,25,0,75,27,21,2,87,162
TES-AKD-2026-01340,salwapalas329@gmail.com,Salwa Palastri,SAFETY ENGINEERING,19,28,3,48,20,27,3,53,101
TES-AKD-2026-01341,hildaprast113@gmail.com,Hilda Prastuti,KONVERSI ENERGI,37,10,3,138,29,16,5,100,238
TES-AKD-2026-01342,hairyantod123@outlook.com,Hairyanto Damanik,DATA SCIENCE,23,27,0,65,37,8,5,140,205
TES-AKD-2026-01343,cemetisapu133@yahoo.com,Cemeti Saputra,TEKNIK BIOENERGI,30,15,5,105,34,12,4,124,229
TES-AKD-2026-01344,caturangga346@outlook.com,Caturangga Sinaga,TEKNIK ELEKTRO,33,12,5,120,32,15,3,113,233
TES-AKD-2026-01345,amaliaangg140@outlook.com,Amalia Anggraini,SUPPLY CHAIN MANAGEMENT,20,26,4,54,39,10,1,146,200
TES-AKD-2026-01346,perkasaman855@gmail.com,Perkasa Mangunsong,DIGITAL MARKETING DAN ANALYTICS,39,10,1,146,25,24,1,76,222
TES-AKD-2026-01347,yahyatamba72@yahoo.com,Yahya Tamba,MANAJEMEN PEMASARAN,19,30,1,46,22,23,5,65,111
TES-AKD-2026-01348,wardayaadr990@pln.co.id,Wardaya Adriansyah,SUPPLY CHAIN MANAGEMENT,33,13,4,119,28,17,5,95,214
TES-AKD-2026-01349,kaniagusti989@yahoo.com,Kani Agustina,MANAJEMEN RISIKO,18,28,4,44,29,21,0,95,139
TES-AKD-2026-01350,ivanwasita790@yahoo.com,Ivan Wasita,TEKNIK INFORMATIKA,25,22,3,78,15,33,2,27,105
TES-AKD-2026-01351,cahyasirai772@gmail.com,Cahya Sirait,TEKNIK SIPIL,35,13,2,127,25,22,3,78,205
TES-AKD-2026-01352,vinosihomb658@pln.co.id,Vino Sihombing,ADMINISTRASI BISNIS,39,9,2,147,24,21,5,75,222
TES-AKD-2026-01353,najibdabuk367@yahoo.com,Najib Dabukke,TEKNIK GEODESI,41,8,1,156,33,13,4,119,275
TES-AKD-2026-01354,warsitamau253@yahoo.com,Warsita Maulana,TEKNIK INFORMATIKA,44,5,1,171,22,25,3,63,234
TES-AKD-2026-01355,cakrajiyaw494@gmail.com,Cakrajiya Wibowo,KESELAMATAN DAN KESEHATAN KERJA,35,15,0,125,27,23,0,85,210
TES-AKD-2026-01356,mayafarida403@yahoo.com,Maya Farida,SUPPLY CHAIN MANAGEMENT,38,11,1,141,45,0,5,180,321
TES-AKD-2026-01357,salimahnur847@outlook.com,Salimah Nurdiyanti,TEKNIK GEOLOGI,44,3,3,173,30,20,0,100,273
TES-AKD-2026-01358,solehsitor305@yahoo.com,Soleh Sitorus,DATA SCIENCE,33,12,5,120,44,2,4,174,294
TES-AKD-2026-01359,sakurarahm859@yahoo.com,Sakura Rahmawati,PUBLIC POLICY,24,26,0,70,27,19,4,89,159
TES-AKD-2026-01360,halimapudj412@gmail.com,Halima Pudjiastuti,MANAJEMEN KEUANGAN,17,30,3,38,35,12,3,128,166
TES-AKD-2026-01361,danuwacana832@outlook.com,Danu Wacana,ADMINISTRASI,19,27,4,49,31,18,1,106,155
TES-AKD-2026-01362,endrawaluy702@outlook.com,Endra Waluyo,MANAJEMEN,39,10,1,146,40,5,5,155,301
TES-AKD-2026-01363,salmanhuta350@yahoo.com,Salman Hutasoit,MANAJEMEN RISIKO,33,14,3,118,42,8,0,160,278
TES-AKD-2026-01364,patriciape435@pln.co.id,Patricia Pertiwi,HUKUM,27,21,2,87,26,23,1,81,168
TES-AKD-2026-01365,yunipermat364@yahoo.com,Yuni Permata,MANAJEMEN PEMASARAN,11,37,2,7,32,16,2,112,119
TES-AKD-2026-01366,jayadihali538@pln.co.id,Jayadi Halim,ELEKTRONIKA DAN INSTRUMENTASI,30,15,5,105,33,12,5,120,225
TES-AKD-2026-01367,umipermata226@pln.co.id,Umi Permata,SUPPLY CHAIN MANAGEMENT,34,14,2,122,48,0,2,192,314
TES-AKD-2026-01368,rikaharyan536@outlook.com,Rika Haryanti,MANAJEMEN,24,25,1,71,23,24,3,68,139
TES-AKD-2026-01369,dalimansir129@yahoo.com,Daliman Siregar,TEKNIK ELEKTRO,36,9,5,135,29,19,2,97,232
TES-AKD-2026-01370,maliksanto625@gmail.com,Malik Santoso,HUKUM,43,7,0,165,37,13,0,135,300
TES-AKD-2026-01371,ulinurdiya848@yahoo.com,Uli Nurdiyanti,DIGITAL MARKETING DAN ANALYTICS,35,15,0,125,30,17,3,103,228
TES-AKD-2026-01372,hairyantop493@gmail.com,Hairyanto Prasetya,MANAJEMEN BISNIS,28,22,0,90,30,18,2,102,192
TES-AKD-2026-01373,harimurtip712@yahoo.com,Harimurti Prakasa,KONVERSI ENERGI,22,23,5,65,24,25,1,71,136
TES-AKD-2026-01374,vimansarag742@yahoo.com,Viman Saragih,PROGRAM STUDI LAINNYA NON TEKNIK,40,5,5,155,27,23,0,85,240
TES-AKD-2026-01375,yuliawastu505@pln.co.id,Yulia Wastuti,MANAJEMEN,26,24,0,80,29,20,1,96,176
TES-AKD-2026-01376,capasaeful835@gmail.com,Capa Saefullah,TEKNIK GEOLOGI,38,9,3,143,35,14,1,126,269
TES-AKD-2026-01377,prabawaput935@pln.co.id,Prabawa Putra,PROGRAM STUDI LAINNYA NON TEKNIK,43,5,2,167,26,22,2,82,249
TES-AKD-2026-01378,ichamardhi43@pln.co.id,Icha Mardhiyah,TEKNIK BIOENERGI,43,2,5,170,29,20,1,96,266
TES-AKD-2026-01379,fitrianiwi14@outlook.com,Fitriani Widiastuti,AKUNTANSI,31,16,3,108,18,30,2,42,150
TES-AKD-2026-01380,gamantopra237@yahoo.com,Gamanto Prayoga,DATA SCIENCE,43,4,3,168,31,18,1,106,274
TES-AKD-2026-01381,emasmaulan543@outlook.com,Emas Maulana,PSIKOLOGI,22,28,0,60,26,20,4,84,144
TES-AKD-2026-01382,yanimardhi273@yahoo.com,Yani Mardhiyah,TEKNIK SIPIL,40,8,2,152,36,12,2,132,284
TES-AKD-2026-01383,agnesyunia952@outlook.com,Agnes Yuniar,SAFETY ENGINEERING,41,8,1,156,33,13,4,119,275
TES-AKD-2026-01384,cintausada899@pln.co.id,Cinta Usada,TEKNIK LINGKUNGAN,33,16,1,116,30,18,2,102,218
TES-AKD-2026-01385,sitiwahyun193@gmail.com,Siti Wahyuni,TEKNIK KIMIA,33,14,3,118,32,18,0,110,228
TES-AKD-2026-01386,caturangga459@yahoo.com,Caturangga Salahudin,MANAJEMEN PEMASARAN,36,10,4,134,25,25,0,75,209
TES-AKD-2026-01387,gamanibudi926@yahoo.com,Gamani Budiman,MANAJEMEN PEMASARAN,26,24,0,80,41,8,1,156,236
TES-AKD-2026-01388,belindaokt419@outlook.com,Belinda Oktaviani,HUKUM,26,24,0,80,37,10,3,138,218
TES-AKD-2026-01389,mitrabudim13@gmail.com,Mitra Budiman,TEKNIK SIPIL,41,4,5,160,24,24,2,72,232
TES-AKD-2026-01390,mahmudpran638@outlook.com,Mahmud Pranowo,AKUNTANSI,38,9,3,143,40,5,5,155,298
TES-AKD-2026-01391,ajimatprab677@pln.co.id,Ajimat Prabowo,MANAJEMEN BISNIS,39,10,1,146,34,13,3,123,269
TES-AKD-2026-01392,jasminkusw406@gmail.com,Jasmin Kuswandari,MANAJEMEN ASET,22,26,2,62,31,14,5,110,172
TES-AKD-2026-01393,jessicaast281@gmail.com,Jessica Astuti,TEKNIK BIOENERGI,33,12,5,120,34,13,3,123,243
TES-AKD-2026-01394,prabanugro846@gmail.com,Praba Nugroho,AKUNTANSI,29,19,2,97,32,15,3,113,210
TES-AKD-2026-01395,amongbudiy690@yahoo.com,Among Budiyanto,BIG DATA DAN BUSINESS INTELLIGENCE,39,11,0,145,33,15,2,117,262
TES-AKD-2026-01396,radenprabo378@outlook.com,Raden Prabowo,AKUNTANSI,35,14,1,126,19,26,5,50,176
TES-AKD-2026-01397,bagusgunaw427@gmail.com,Bagus Gunawan,MANAJEMEN PROYEK,21,24,5,60,31,14,5,110,170
TES-AKD-2026-01398,kamariasur267@pln.co.id,Kamaria Suryatmi,AKUNTANSI,37,10,3,138,35,14,1,126,264
TES-AKD-2026-01399,padmanurdi197@yahoo.com,Padma Nurdiyanti,TEKNIK INDUSTRI,28,18,4,94,22,25,3,63,157
TES-AKD-2026-01400,kamarianov285@gmail.com,Kamaria Novitasari,MANAJEMEN PEMASARAN,31,19,0,105,21,24,5,60,165
TES-AKD-2026-01401,darmanawib34@gmail.com,Darmana Wibisono,MANAJEMEN PROYEK,20,30,0,50,29,16,5,100,150
TES-AKD-2026-01402,jarwiputra986@gmail.com,Jarwi Putra,TEKNIK LINGKUNGAN,43,4,3,168,31,14,5,110,278
TES-AKD-2026-01403,kairavwibo962@outlook.com,Kairav Wibowo,KOMUNIKASI,29,16,5,100,34,15,1,121,221
TES-AKD-2026-01404,farahfujia494@pln.co.id,Farah Fujiati,ENERGI BARU TERBARUKAN,32,14,4,114,44,5,1,171,285
TES-AKD-2026-01405,vanyakuswa229@gmail.com,Vanya Kuswandari,MANAJEMEN PEMASARAN,29,21,0,95,37,10,3,138,233
TES-AKD-2026-01406,legawaadri481@yahoo.com,Legawa Adriansyah,MANAJEMEN KEUANGAN,26,20,4,84,31,18,1,106,190
TES-AKD-2026-01407,violetyuni461@pln.co.id,Violet Yuniar,TEKNIK ELEKTRO,46,1,3,183,15,30,5,30,213
TES-AKD-2026-01408,jagaragawi53@yahoo.com,Jagaraga Widodo,TEKNIK BIOENERGI,35,12,3,128,26,24,0,80,208
TES-AKD-2026-01409,jagapatina71@outlook.com,Jagapati Nainggolan,TEKNIK INFORMATIKA,46,0,4,184,29,19,2,97,281
TES-AKD-2026-01410,cintapurwa599@gmail.com,Cinta Purwanti,ELEKTRONIKA DAN INSTRUMENTASI,32,16,2,112,28,18,4,94,206
TES-AKD-2026-01411,ajengwastu658@yahoo.com,Ajeng Wastuti,PSIKOLOGI,40,6,4,154,31,18,1,106,260
TES-AKD-2026-01412,ikinmaryad669@pln.co.id,Ikin Maryadi,PUBLIC POLICY,26,22,2,82,26,19,5,85,167
TES-AKD-2026-01413,candraardi54@pln.co.id,Candra Ardianto,BIG DATA DAN BUSINESS INTELLIGENCE,42,3,5,165,33,16,1,116,281
TES-AKD-2026-01414,sadinakusw159@pln.co.id,Sadina Kuswandari,KONVERSI ENERGI,32,13,5,115,23,24,3,68,183
TES-AKD-2026-01415,damarhutas945@gmail.com,Damar Hutasoit,TEKNIK GEOLOGI,34,11,5,125,31,15,4,109,234
TES-AKD-2026-01416,virmannapi538@pln.co.id,Virman Napitupulu,TEKNIK SIPIL,37,12,1,136,33,15,2,117,253
TES-AKD-2026-01417,malikawast379@gmail.com,Malika Wastuti,KEUANGAN,27,22,1,86,34,16,0,120,206
TES-AKD-2026-01418,baktionota989@pln.co.id,Baktiono Tamba,TEKNIK LISTRIK,38,11,1,141,18,28,4,44,185
TES-AKD-2026-01419,ratnapalas388@pln.co.id,Ratna Palastri,MANAJEMEN ASET,41,6,3,158,31,14,5,110,268
TES-AKD-2026-01420,mutialaila213@outlook.com,Mutia Lailasari,AKUNTANSI,33,12,5,120,43,4,3,168,288
TES-AKD-2026-01421,jindrahuta834@gmail.com,Jindra Hutagalung,TEKNIK INFORMATIKA,42,6,2,162,35,14,1,126,288
TES-AKD-2026-01422,rikasuryat912@yahoo.com,Rika Suryatmi,MANAJEMEN PEMASARAN,22,25,3,63,37,11,2,137,200
TES-AKD-2026-01423,baktionoha293@pln.co.id,Baktiono Halim,TEKNIK SIPIL,19,30,1,46,30,19,1,101,147
TES-AKD-2026-01424,vivimulyan74@yahoo.com,Vivi Mulyani,ELEKTRONIKA DAN INSTRUMENTASI,30,19,1,101,32,16,2,112,213
TES-AKD-2026-01425,septipurwa523@yahoo.com,Septi Purwanti,ADMINISTRASI BISNIS,19,29,2,47,26,21,3,83,130
TES-AKD-2026-01426,marasutama282@pln.co.id,Maras Utama,DATA SCIENCE,39,7,4,149,35,13,2,127,276
TES-AKD-2026-01427,hafshahnam571@yahoo.com,Hafshah Namaga,ADMINISTRASI,27,22,1,86,30,16,4,104,190
TES-AKD-2026-01428,zahraagust413@gmail.com,Zahra Agustina,ENERGI BARU TERBARUKAN,26,22,2,82,32,18,0,110,192
TES-AKD-2026-01429,mulyapradi323@outlook.com,Mulya Pradipta,TEKNIK MESIN,32,14,4,114,42,3,5,165,279
TES-AKD-2026-01430,raisapurna620@pln.co.id,Raisa Purnawati,AKUNTANSI,35,15,0,125,38,8,4,144,269
TES-AKD-2026-01431,balapatiwa131@gmail.com,Balapati Wahyudin,TEKNIK INFORMATIKA,36,12,2,132,31,15,4,109,241
TES-AKD-2026-01432,asmiantoan272@outlook.com,Asmianto Anggriawan,TEKNIK MESIN,27,18,5,90,39,10,1,146,236
TES-AKD-2026-01433,rahmirahma465@outlook.com,Rahmi Rahmawati,TEKNIK LISTRIK,38,8,4,144,31,19,0,105,249
TES-AKD-2026-01434,harjautama253@yahoo.com,Harja Utama,SAFETY ENGINEERING,46,0,4,184,34,11,5,125,309
TES-AKD-2026-01435,novasudiat180@yahoo.com,Nova Sudiati,KOMUNIKASI,24,21,5,75,19,29,2,47,122
TES-AKD-2026-01436,kusumawibi336@yahoo.com,Kusuma Wibisono,SAFETY ENGINEERING,34,15,1,121,35,12,3,128,249
TES-AKD-2026-01437,dariatihut293@yahoo.com,Dariati Hutasoit,PROGRAM STUDI LAINNYA TEKNIK,27,20,3,88,30,15,5,105,193
TES-AKD-2026-01438,taswirsito771@yahoo.com,Taswir Sitompul,TEKNIK MESIN,38,7,5,145,21,29,0,55,200
TES-AKD-2026-01439,ihsanprase294@yahoo.com,Ihsan Prasetyo,MANAJEMEN PEMASARAN,33,17,0,115,38,11,1,141,256
TES-AKD-2026-01440,anommaulan843@yahoo.com,Anom Maulana,MANAJEMEN KEUANGAN,31,16,3,108,46,3,1,181,289
TES-AKD-2026-01441,gamantotam909@yahoo.com,Gamanto Tamba,ADMINISTRASI BISNIS,38,8,4,144,25,25,0,75,219
TES-AKD-2026-01442,rahmiyulia891@outlook.com,Rahmi Yuliarti,KESELAMATAN DAN KESEHATAN KERJA,18,31,1,41,35,11,4,129,170
TES-AKD-2026-01443,ellasuryat38@outlook.com,Ella Suryatmi,MANAJEMEN PROYEK,32,15,3,113,35,14,1,126,239
TES-AKD-2026-01444,bakidinwin769@pln.co.id,Bakidin Winarno,TEKNIK INFORMATIKA,47,0,3,188,30,16,4,104,292
TES-AKD-2026-01445,yulianahas883@outlook.com,Yuliana Hasanah,SUPPLY CHAIN MANAGEMENT,30,18,2,102,32,13,5,115,217
TES-AKD-2026-01446,yulianurai978@yahoo.com,Yulia Nuraini,MATEMATIKA,35,11,4,129,38,7,5,145,274
TES-AKD-2026-01447,gamantoadr67@outlook.com,Gamanto Adriansyah,TEKNIK ELEKTRO,31,17,2,107,26,23,1,81,188
TES-AKD-2026-01448,kasiyahlak233@gmail.com,Kasiyah Laksita,MANAJEMEN INVESTASI BANK,44,5,1,171,40,8,2,152,323
TES-AKD-2026-01449,humairalai931@outlook.com,Humaira Lailasari,MANAJEMEN BISNIS,37,12,1,136,32,14,4,114,250
TES-AKD-2026-01450,laksanamau794@pln.co.id,Laksana Maulana,ENERGI BARU TERBARUKAN,27,20,3,88,16,34,0,30,118
TES-AKD-2026-01451,novahartat41@gmail.com,Nova Hartati,PSIKOLOGI,18,31,1,41,43,3,4,169,210
TES-AKD-2026-01452,langgengsa377@pln.co.id,Langgeng Saptono,TEKNIK KIMIA,25,21,4,79,29,20,1,96,175
TES-AKD-2026-01453,bahuwiryap643@yahoo.com,Bahuwirya Prayoga,ELEKTRONIKA DAN INSTRUMENTASI,40,5,5,155,38,10,2,142,297
TES-AKD-2026-01454,gentanasyi857@yahoo.com,Genta Nasyidah,TEKNIK INDUSTRI,45,1,4,179,37,13,0,135,314
TES-AKD-2026-01455,windaagust611@yahoo.com,Winda Agustina,MANAJEMEN BISNIS,36,10,4,134,32,14,4,114,248
TES-AKD-2026-01456,bellahastu904@yahoo.com,Bella Hastuti,TEKNIK INFORMATIKA,28,19,3,93,31,19,0,105,198
TES-AKD-2026-01457,cemetihuta139@gmail.com,Cemeti Hutapea,TEKNIK ELEKTRO,33,13,4,119,46,1,3,183,302
TES-AKD-2026-01458,irmapadmas877@pln.co.id,Irma Padmasari,AKUNTANSI,35,13,2,127,46,2,2,182,309
TES-AKD-2026-01459,irasuartin539@pln.co.id,Ira Suartini,TEKNIK LINGKUNGAN,38,10,2,142,24,23,3,73,215
TES-AKD-2026-01460,harsananug474@outlook.com,Harsana Nugroho,MANAJEMEN PEMASARAN,31,17,2,107,20,27,3,53,160
TES-AKD-2026-01461,victoriapu777@gmail.com,Victoria Puspita,ADMINISTRASI BISNIS,41,5,4,159,38,11,1,141,300
TES-AKD-2026-01462,martanahut371@gmail.com,Martana Hutasoit,TEKNIK PERTAMBANGAN,37,9,4,139,24,25,1,71,210
TES-AKD-2026-01463,asmiantoha872@pln.co.id,Asmianto Hakim,KONVERSI ENERGI,37,8,5,140,30,17,3,103,243
TES-AKD-2026-01464,galihsihom174@gmail.com,Galih Sihombing,TEKNIK LISTRIK,31,18,1,106,31,17,2,107,213
TES-AKD-2026-01465,nadinemand842@outlook.com,Nadine Mandasari,ADMINISTRASI BISNIS,45,3,2,177,27,21,2,87,264
TES-AKD-2026-01466,ekapuspasa697@pln.co.id,Eka Puspasari,PSIKOLOGI,22,25,3,63,28,18,4,94,157
TES-AKD-2026-01467,elvinawula897@yahoo.com,Elvina Wulandari,DIGITAL MARKETING DAN ANALYTICS,31,17,2,107,34,14,2,122,229
TES-AKD-2026-01468,gaduhputra639@yahoo.com,Gaduh Putra,HUKUM,27,18,5,90,29,17,4,99,189
TES-AKD-2026-01469,karjamarpa204@outlook.com,Karja Marpaung,MANAJEMEN PROYEK,46,4,0,180,29,19,2,97,277
TES-AKD-2026-01470,juliamulya318@yahoo.com,Julia Mulyani,PUBLIC POLICY,35,11,4,129,29,20,1,96,225
TES-AKD-2026-01471,praburajas141@pln.co.id,Prabu Rajasa,ENERGI BARU TERBARUKAN,31,17,2,107,30,15,5,105,212
TES-AKD-2026-01472,ganepmaula281@yahoo.com,Ganep Maulana,MANAJEMEN ASET,20,28,2,52,31,16,3,108,160
TES-AKD-2026-01473,bagasprata483@outlook.com,Bagas Pratama,MANAJEMEN,19,27,4,49,24,24,2,72,121
TES-AKD-2026-01474,kalakurnia799@pln.co.id,Kala Kurniawan,MANAJEMEN KEUANGAN,40,9,1,151,35,15,0,125,276
TES-AKD-2026-01475,jatmikodam19@yahoo.com,Jatmiko Damanik,DIGITAL MARKETING DAN ANALYTICS,32,17,1,111,22,27,1,61,172
TES-AKD-2026-01476,vanesaokta663@gmail.com,Vanesa Oktaviani,DATA SCIENCE,42,3,5,165,32,16,2,112,277
TES-AKD-2026-01477,caturjanua154@outlook.com,Catur Januar,ELEKTRONIKA DAN INSTRUMENTASI,39,10,1,146,38,11,1,141,287
TES-AKD-2026-01478,digdayaman912@gmail.com,Digdaya Manullang,MANAJEMEN PEMASARAN,22,23,5,65,37,8,5,140,205
TES-AKD-2026-01479,nrimaiswah934@outlook.com,Nrima Iswahyudi,MANAJEMEN,38,7,5,145,19,31,0,45,190
TES-AKD-2026-01480,titiandria525@gmail.com,Titi Andriani,TEKNIK INDUSTRI,39,11,0,145,26,19,5,85,230
TES-AKD-2026-01481,dwihidayat665@outlook.com,Dwi Hidayat,ENERGI BARU TERBARUKAN,27,20,3,88,31,19,0,105,193
TES-AKD-2026-01482,amaliasuar157@yahoo.com,Amalia Suartini,ENERGI BARU TERBARUKAN,25,23,2,77,31,15,4,109,186
TES-AKD-2026-01483,anitaprast232@pln.co.id,Anita Prastuti,TEKNIK ELEKTRO,36,10,4,134,32,14,4,114,248
TES-AKD-2026-01484,kandahiday371@gmail.com,Kanda Hidayanto,AKUNTANSI,21,24,5,60,28,18,4,94,154
TES-AKD-2026-01485,jaisdongor247@gmail.com,Jais Dongoran,ENERGI BARU TERBARUKAN,32,16,2,112,19,30,1,46,158
TES-AKD-2026-01486,victoriaha647@yahoo.com,Victoria Hastuti,TEKNIK LISTRIK,47,0,3,188,42,7,1,161,349
TES-AKD-2026-01487,mariadimar658@yahoo.com,Mariadi Maryadi,TEKNIK PERTAMBANGAN,32,16,2,112,29,20,1,96,208
TES-AKD-2026-01488,wawansarag248@outlook.com,Wawan Saragih,TEKNIK GEOLOGI,38,7,5,145,35,10,5,130,275
TES-AKD-2026-01489,dalimawast576@outlook.com,Dalima Wastuti,TEKNIK ELEKTRO,23,23,4,69,23,24,3,68,137
TES-AKD-2026-01490,elmautami87@yahoo.com,Elma Utami,KEUANGAN,25,20,5,80,28,19,3,93,173
TES-AKD-2026-01491,sarirahayu773@gmail.com,Sari Rahayu,MANAJEMEN ASET,29,17,4,99,29,20,1,96,195
TES-AKD-2026-01492,ellaandria438@outlook.com,Ella Andriani,MANAJEMEN,24,25,1,71,33,15,2,117,188
TES-AKD-2026-01493,lalitasury203@outlook.com,Lalita Suryatmi,TEKNIK KIMIA,30,17,3,103,27,18,5,90,193
TES-AKD-2026-01494,zulfaperma267@outlook.com,Zulfa Permata,TEKNIK KIMIA,42,5,3,163,36,10,4,134,297
TES-AKD-2026-01495,simonwaluy562@yahoo.com,Simon Waluyo,TEKNIK INFORMATIKA,33,12,5,120,42,7,1,161,281
TES-AKD-2026-01496,rahmanfirg51@outlook.com,Rahman Firgantoro,TEKNIK ELEKTRO,45,0,5,180,18,29,3,43,223
TES-AKD-2026-01497,aniastuti969@outlook.com,Ani Astuti,ADMINISTRASI BISNIS,39,11,0,145,44,3,3,173,318
TES-AKD-2026-01498,fitriapert452@gmail.com,Fitria Pertiwi,MANAJEMEN PROYEK,26,23,1,81,40,10,0,150,231
TES-AKD-2026-01499,evanamaga636@outlook.com,Eva Namaga,SUPPLY CHAIN MANAGEMENT,26,19,5,85,35,13,2,127,212
TES-AKD-2026-01500,kembautama933@yahoo.com,Kemba Utama,TEKNIK LINGKUNGAN,35,10,5,130,33,13,4,119,249
TES-AKD-2026-01501,udaprasety140@pln.co.id,Uda Prasetya,MANAJEMEN KEUANGAN,33,16,1,116,27,18,5,90,206
TES-AKD-2026-01502,piawahyuni745@gmail.com,Pia Wahyuni,TEKNIK SIPIL,46,3,1,181,30,15,5,105,286
TES-AKD-2026-01503,omanzulkar184@outlook.com,Oman Zulkarnain,MANAJEMEN BISNIS,26,21,3,83,45,2,3,178,261
TES-AKD-2026-01504,sadinamela976@yahoo.com,Sadina Melani,ADMINISTRASI,14,34,2,22,40,7,3,153,175
TES-AKD-2026-01505,paulinwija164@yahoo.com,Paulin Wijayanti,TEKNIK LISTRIK,38,8,4,144,20,29,1,51,195
TES-AKD-2026-01506,jamaliayul664@pln.co.id,Jamalia Yulianti,ADMINISTRASI BISNIS,28,22,0,90,34,12,4,124,214
TES-AKD-2026-01507,ridwanraja673@yahoo.com,Ridwan Rajata,PROGRAM STUDI LAINNYA TEKNIK,37,8,5,140,25,25,0,75,215
TES-AKD-2026-01508,johandabuk105@outlook.com,Johan Dabukke,MANAJEMEN KEUANGAN,30,19,1,101,21,25,4,59,160
TES-AKD-2026-01509,bakiadifir862@outlook.com,Bakiadi Firmansyah,TEKNIK LISTRIK,25,22,3,78,21,27,2,57,135
TES-AKD-2026-01510,sabrihutas617@pln.co.id,Sabri Hutasoit,SAFETY ENGINEERING,45,2,3,178,22,23,5,65,243
TES-AKD-2026-01511,daliminuta830@pln.co.id,Dalimin Utama,TEKNIK GEOLOGI,28,21,1,91,30,15,5,105,196
TES-AKD-2026-01512,digdayawib898@pln.co.id,Digdaya Wibisono,DATA SCIENCE,25,24,1,76,47,0,3,188,264
TES-AKD-2026-01513,maidasusan172@yahoo.com,Maida Susanti,PSIKOLOGI,24,21,5,75,30,18,2,102,177
TES-AKD-2026-01514,dirjaprada901@gmail.com,Dirja Pradana,HUKUM,35,10,5,130,26,20,4,84,214
TES-AKD-2026-01515,calistawid404@outlook.com,Calista Widiastuti,SUPPLY CHAIN MANAGEMENT,38,8,4,144,36,13,1,131,275
TES-AKD-2026-01516,kokosetiaw543@pln.co.id,Koko Setiawan,PSIKOLOGI,34,11,5,125,26,23,1,81,206
TES-AKD-2026-01517,kamidinraj626@outlook.com,Kamidin Rajasa,TEKNIK LINGKUNGAN,28,18,4,94,31,16,3,108,202
TES-AKD-2026-01518,malikmanda598@outlook.com,Malik Mandala,KESELAMATAN DAN KESEHATAN KERJA,26,24,0,80,23,22,5,70,150
TES-AKD-2026-01519,rinipuspit445@yahoo.com,Rini Puspita,AKUNTANSI,32,13,5,115,24,25,1,71,186
TES-AKD-2026-01520,jailirawan412@yahoo.com,Jail Irawan,MANAJEMEN,40,5,5,155,31,18,1,106,261
TES-AKD-2026-01521,fathonahha304@outlook.com,Fathonah Hasanah,DATA SCIENCE,34,14,2,122,28,17,5,95,217
TES-AKD-2026-01522,rinipudjia678@gmail.com,Rini Pudjiastuti,AKUNTANSI,19,29,2,47,34,15,1,121,168
TES-AKD-2026-01523,maidawulan409@gmail.com,Maida Wulandari,MANAJEMEN,25,23,2,77,27,23,0,85,162
