NO TES,EMAIL,NAMA,PRODI,SKOR,REKOMENDASI,HASIL
TES-AKD-2026-02239,oliviaperm221@gmail.com,Olivia Permata,KOMUNIKASI,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02241,gamanwibis334@yahoo.com,Gaman Wibisono,MANAJEMEN KEUANGAN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02245,yunisuarti803@outlook.com,Yuni Suartini,MANAJEMEN PROYEK,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02249,zaenabyuli36@yahoo.com,Zaenab Yuliarti,AKUNTANSI,24,DISARANKAN,LOLOS
TES-AKD-2026-02258,titinlaila269@pln.co.id,Titin Lailasari,KESELAMATAN DAN KESEHATAN KERJA,26,DISARANKAN,LOLOS
TES-AKD-2026-02261,yulianaman612@yahoo.com,Yuliana Mandasari,MANAJEMEN BISNIS,24,DISARANKAN,LOLOS
TES-AKD-2026-02264,muhammadma919@outlook.com,Muhammad Maryadi,DIGITAL MARKETING DAN ANALYTICS,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02265,irnantowal547@gmail.com,Irnanto Waluyo,TEKNIK SIPIL,26,DISARANKAN,LOLOS
TES-AKD-2026-02272,kaniprastu563@pln.co.id,Kani Prastuti,TEKNIK LISTRIK,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02277,garanwidod845@gmail.com,Garan Widodo,MANAJEMEN PEMASARAN,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02282,nadinenama59@pln.co.id,Nadine Namaga,MANAJEMEN,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02290,ilsamardhi457@gmail.com,Ilsa Mardhiyah,AKUNTANSI,25,DISARANKAN,LOLOS
TES-AKD-2026-02291,martakasuw723@pln.co.id,Martaka Suwarno,TEKNIK INFORMATIKA,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02293,novahanday984@gmail.com,Nova Handayani,TEKNIK ELEKTRO,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02298,auroramand244@yahoo.com,Aurora Mandasari,PROGRAM STUDI LAINNYA TEKNIK,21,DISARANKAN,LOLOS
TES-AKD-2026-02302,teddymansu18@yahoo.com,Teddy Mansur,MANAJEMEN RISIKO,24,DISARANKAN,LOLOS
TES-AKD-2026-02303,harjotampu411@outlook.com,Harjo Tampubolon,ENERGI BARU TERBARUKAN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02304,dasagunawa670@yahoo.com,Dasa Gunawan,TEKNIK GEODESI,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02305,hartakabud915@gmail.com,Hartaka Budiman,SUPPLY CHAIN MANAGEMENT,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02306,balidinzul794@outlook.com,Balidin Zulkarnain,PROGRAM STUDI LAINNYA NON TEKNIK,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02317,dianasusan446@yahoo.com,Diana Susanti,MANAJEMEN PROYEK,22,DISARANKAN,LOLOS
TES-AKD-2026-02326,pangestufi940@outlook.com,Pangestu Firmansyah,MANAJEMEN BISNIS,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02328,jakasaputr128@gmail.com,Jaka Saputra,TEKNIK LISTRIK,22,DISARANKAN,LOLOS
TES-AKD-2026-02329,bagyasuryo832@gmail.com,Bagya Suryono,SAFETY ENGINEERING,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02333,raharjaira480@outlook.com,Raharja Irawan,ENERGI BARU TERBARUKAN,10,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02337,taniazulai257@gmail.com,Tania Zulaika,KONVERSI ENERGI,22,DISARANKAN,LOLOS
TES-AKD-2026-02341,danuirawan598@gmail.com,Danu Irawan,TEKNIK MESIN,21,DISARANKAN,LOLOS
TES-AKD-2026-02344,nadinelaks598@gmail.com,Nadine Laksmiwati,MANAJEMEN PROYEK,23,DISARANKAN,LOLOS
TES-AKD-2026-02353,yogaprabow277@gmail.com,Yoga Prabowo,TEKNIK MATERIAL,22,DISARANKAN,LOLOS
TES-AKD-2026-02356,ibrahimard311@outlook.com,Ibrahim Ardianto,MANAJEMEN ASET,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02367,simonsapto452@pln.co.id,Simon Saptono,TEKNIK GEOLOGI,21,DISARANKAN,LOLOS
TES-AKD-2026-02376,lantartamb423@yahoo.com,Lantar Tamba,ELEKTRONIKA DAN INSTRUMENTASI,23,DISARANKAN,LOLOS
TES-AKD-2026-02377,zulfawidia234@yahoo.com,Zulfa Widiastuti,HUKUM,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02380,halimhakim532@yahoo.com,Halim Hakim,ENERGI BARU TERBARUKAN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02381,limansinag356@outlook.com,Liman Sinaga,MANAJEMEN ASET,23,DISARANKAN,LOLOS
TES-AKD-2026-02383,pancawinar241@outlook.com,Panca Winarno,ENERGI BARU TERBARUKAN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02397,dartonogun69@outlook.com,Dartono Gunawan,TEKNIK MESIN,24,DISARANKAN,LOLOS
TES-AKD-2026-02398,aurorautam59@yahoo.com,Aurora Utami,PROGRAM STUDI LAINNYA TEKNIK,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02401,reksafirma60@pln.co.id,Reksa Firmansyah,TEKNIK MESIN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02405,ameliawidi98@pln.co.id,Amelia Widiastuti,PSIKOLOGI,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02406,martanatha786@gmail.com,Martana Thamrin,MANAJEMEN BISNIS,26,DISARANKAN,LOLOS
TES-AKD-2026-02407,warjiutama866@yahoo.com,Warji Utama,TEKNIK MATERIAL,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02410,yancewinar495@gmail.com,Yance Winarsih,HUKUM,21,DISARANKAN,LOLOS
TES-AKD-2026-02417,piapurwant811@outlook.com,Pia Purwanti,MANAJEMEN PEMASARAN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02418,nurullesta494@yahoo.com,Nurul Lestari,TEKNIK MESIN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02419,jamilmarya970@yahoo.com,Jamil Maryadi,KONVERSI ENERGI,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02423,opheliahal331@outlook.com,Ophelia Halimah,ENERGI BARU TERBARUKAN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02424,zulaikhapa194@pln.co.id,Zulaikha Padmasari,TEKNIK MESIN,21,DISARANKAN,LOLOS
TES-AKD-2026-02429,rinawinars554@gmail.com,Rina Winarsih,PSIKOLOGI,22,DISARANKAN,LOLOS
TES-AKD-2026-02441,hendrihali878@yahoo.com,Hendri Halim,TEKNIK KIMIA,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02445,anastasias618@pln.co.id,Anastasia Suryatmi,TEKNIK KIMIA,21,DISARANKAN,LOLOS
TES-AKD-2026-02447,murtidabuk552@outlook.com,Murti Dabukke,ADMINISTRASI BISNIS,22,DISARANKAN,LOLOS
TES-AKD-2026-02449,anomwibowo584@outlook.com,Anom Wibowo,HUKUM,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02458,prabamahes529@yahoo.com,Praba Maheswara,TEKNIK SIPIL,21,DISARANKAN,LOLOS
TES-AKD-2026-02460,agnesandri273@gmail.com,Agnes Andriani,MANAJEMEN RISIKO,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02461,irwanardia785@yahoo.com,Irwan Ardianto,MANAJEMEN RISIKO,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02475,agnesagust502@yahoo.com,Agnes Agustina,ENERGI BARU TERBARUKAN,21,DISARANKAN,LOLOS
TES-AKD-2026-02477,gaduhbudiy697@gmail.com,Gaduh Budiyanto,ELEKTRONIKA DAN INSTRUMENTASI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02479,belindaper24@gmail.com,Belinda Pertiwi,ADMINISTRASI BISNIS,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02481,taufikkusw491@pln.co.id,Taufik Kuswoyo,HUKUM,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02483,farhunnisa65@gmail.com,Farhunnisa Safitri,SUPPLY CHAIN MANAGEMENT,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02484,virmantari506@yahoo.com,Virman Tarihoran,ENERGI BARU TERBARUKAN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02491,endahzulai311@gmail.com,Endah Zulaika,ELEKTRONIKA DAN INSTRUMENTASI,21,DISARANKAN,LOLOS
TES-AKD-2026-02493,mujurnaing549@yahoo.com,Mujur Nainggolan,MANAJEMEN BISNIS,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02494,alikayulia384@yahoo.com,Alika Yulianti,HUKUM,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02496,taswirwina670@pln.co.id,Taswir Winarno,KEUANGAN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02499,dindaperma702@gmail.com,Dinda Permata,MANAJEMEN,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02500,hafshahsua923@pln.co.id,Hafshah Suartini,DATA SCIENCE,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02503,argonotamp359@yahoo.com,Argono Tampubolon,TEKNIK GEOLOGI,26,DISARANKAN,LOLOS
TES-AKD-2026-02514,munihabibi119@yahoo.com,Muni Habibi,TEKNIK ELEKTRO,21,DISARANKAN,LOLOS
TES-AKD-2026-02522,kawacasaef715@gmail.com,Kawaca Saefullah,PSIKOLOGI,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02533,galurmarpa967@yahoo.com,Galur Marpaung,ADMINISTRASI BISNIS,22,DISARANKAN,LOLOS
TES-AKD-2026-02534,rikaastuti652@gmail.com,Rika Astuti,MANAJEMEN PROYEK,23,DISARANKAN,LOLOS
TES-AKD-2026-02535,piayuliant54@outlook.com,Pia Yulianti,MANAJEMEN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02537,sakurapala164@gmail.com,Sakura Palastri,TEKNIK SIPIL,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02541,irfandaman950@gmail.com,Irfan Damanik,TEKNIK GEODESI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02544,sabrinawul17@gmail.com,Sabrina Wulandari,TEKNIK SIPIL,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02545,taliamarya694@yahoo.com,Talia Maryati,MANAJEMEN ASET,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02546,indahwahyu112@gmail.com,Indah Wahyuni,TEKNIK LISTRIK,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02551,zahranamag736@pln.co.id,Zahra Namaga,SUPPLY CHAIN MANAGEMENT,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02552,shakilahar647@outlook.com,Shakila Hariyah,MANAJEMEN KEUANGAN,24,DISARANKAN,LOLOS
TES-AKD-2026-02553,ilsanurdiy606@pln.co.id,Ilsa Nurdiyanti,MANAJEMEN INVESTASI BANK,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02568,indramarya172@gmail.com,Indra Maryadi,KONVERSI ENERGI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02569,ajimanpray72@pln.co.id,Ajiman Prayoga,MANAJEMEN PROYEK,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02572,ginayuliar487@pln.co.id,Gina Yuliarti,ADMINISTRASI BISNIS,26,DISARANKAN,LOLOS
TES-AKD-2026-02577,sabrinaand528@gmail.com,Sabrina Andriani,TEKNIK KIMIA,26,DISARANKAN,LOLOS
TES-AKD-2026-02578,warsitabud751@pln.co.id,Warsita Budiyanto,TEKNIK INDUSTRI,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02582,cahyaiswah705@yahoo.com,Cahya Iswahyudi,DATA SCIENCE,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02583,daniswarap669@yahoo.com,Daniswara Prayoga,TEKNIK BIOENERGI,22,DISARANKAN,LOLOS
TES-AKD-2026-02589,rikasudiat641@gmail.com,Rika Sudiati,KEUANGAN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02594,fitrianira98@pln.co.id,Fitriani Rahimah,TEKNIK GEODESI,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02595,caturtampu414@pln.co.id,Catur Tampubolon,TEKNIK GEODESI,21,DISARANKAN,LOLOS
TES-AKD-2026-02600,aswaniuwai639@outlook.com,Aswani Uwais,TEKNIK INDUSTRI,24,DISARANKAN,LOLOS
TES-AKD-2026-02605,karensusan179@yahoo.com,Karen Susanti,MANAJEMEN PROYEK,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02611,pariszulai749@gmail.com,Paris Zulaika,TEKNIK ELEKTRO,21,DISARANKAN,LOLOS
TES-AKD-2026-02616,marialaksm94@outlook.com,Maria Laksmiwati,AKUNTANSI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02623,nilamutami168@pln.co.id,Nilam Utami,TEKNIK GEOLOGI,27,DISARANKAN,LOLOS
TES-AKD-2026-02636,jaswadisit712@gmail.com,Jaswadi Sitorus,MATEMATIKA,22,DISARANKAN,LOLOS
TES-AKD-2026-02639,prabasirai282@pln.co.id,Praba Sirait,KOMUNIKASI,22,DISARANKAN,LOLOS
TES-AKD-2026-02649,darmanawij433@outlook.com,Darmana Wijaya,DATA SCIENCE,22,DISARANKAN,LOLOS
TES-AKD-2026-02651,julipertiw480@outlook.com,Juli Pertiwi,PUBLIC POLICY,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02652,budihutaga403@pln.co.id,Budi Hutagalung,TEKNIK BIOENERGI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02656,wahyuprasa872@pln.co.id,Wahyu Prasasta,TEKNIK INFORMATIKA,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02659,laksanaraj818@gmail.com,Laksana Rajasa,BIG DATA DAN BUSINESS INTELLIGENCE,22,DISARANKAN,LOLOS
TES-AKD-2026-02668,harsanaman221@yahoo.com,Harsana Mandala,ADMINISTRASI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02671,janefarida484@pln.co.id,Jane Farida,HUKUM,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02673,rinihasana862@outlook.com,Rini Hasanah,MANAJEMEN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02679,jatiprabow738@yahoo.com,Jati Prabowo,TEKNIK SIPIL,28,DISARANKAN,LOLOS
TES-AKD-2026-02680,ismailmanu576@gmail.com,Ismail Manullang,ENERGI BARU TERBARUKAN,26,DISARANKAN,LOLOS
TES-AKD-2026-02682,onisusanti213@pln.co.id,Oni Susanti,MANAJEMEN KEUANGAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02683,ekanashiru507@gmail.com,Eka Nashiruddin,ENERGI BARU TERBARUKAN,24,DISARANKAN,LOLOS
TES-AKD-2026-02684,milapermat216@gmail.com,Mila Permata,TEKNIK SIPIL,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02694,jarwiwasit780@gmail.com,Jarwi Wasita,TEKNIK GEOLOGI,21,DISARANKAN,LOLOS
TES-AKD-2026-02697,endahastut427@outlook.com,Endah Astuti,TEKNIK GEODESI,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02701,bellanasyi723@yahoo.com,Bella Nasyidah,TEKNIK MESIN,23,DISARANKAN,LOLOS
TES-AKD-2026-02705,indralazua80@pln.co.id,Indra Lazuardi,TEKNIK GEODESI,24,DISARANKAN,LOLOS
TES-AKD-2026-02707,kasusranap913@outlook.com,Kasusra Napitupulu,TEKNIK LINGKUNGAN,22,DISARANKAN,LOLOS
TES-AKD-2026-02709,muhammadme491@pln.co.id,Muhammad Megantara,TEKNIK GEOLOGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02710,irsadsuryo872@outlook.com,Irsad Suryono,MATEMATIKA,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02713,mutiausada621@yahoo.com,Mutia Usada,ADMINISTRASI BISNIS,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02721,asmadiperm820@gmail.com,Asmadi Permadi,ENERGI BARU TERBARUKAN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02725,hairyantob214@pln.co.id,Hairyanto Budiman,MANAJEMEN PEMASARAN,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02727,lamariswah710@gmail.com,Lamar Iswahyudi,DIGITAL MARKETING DAN ANALYTICS,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02728,wirasuryon844@outlook.com,Wira Suryono,SUPPLY CHAIN MANAGEMENT,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02734,jasminandr825@gmail.com,Jasmin Andriani,MATEMATIKA,22,DISARANKAN,LOLOS
TES-AKD-2026-02736,ulyapalast676@outlook.com,Ulya Palastri,KEUANGAN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02739,kaninasyid688@gmail.com,Kani Nasyidah,TEKNIK KIMIA,21,DISARANKAN,LOLOS
TES-AKD-2026-02742,cawisadiuw242@gmail.com,Cawisadi Uwais,MANAJEMEN PEMASARAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02748,faizahnasy649@pln.co.id,Faizah Nasyiah,TEKNIK KIMIA,22,DISARANKAN,LOLOS
TES-AKD-2026-02751,harjayasae933@yahoo.com,Harjaya Saefullah,MANAJEMEN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02755,gambiranat935@yahoo.com,Gambira Natsir,TEKNIK KIMIA,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02756,rachelmuly425@yahoo.com,Rachel Mulyani,MANAJEMEN,22,DISARANKAN,LOLOS
TES-AKD-2026-02758,cakrawalan893@gmail.com,Cakrawala Nashiruddin,AKUNTANSI,21,DISARANKAN,LOLOS
TES-AKD-2026-02763,mutiapuspi692@pln.co.id,Mutia Puspita,TEKNIK ELEKTRO,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02770,zahrafujia600@gmail.com,Zahra Fujiati,TEKNIK MESIN,26,DISARANKAN,LOLOS
TES-AKD-2026-02771,ganepnaing683@yahoo.com,Ganep Nainggolan,ADMINISTRASI BISNIS,22,DISARANKAN,LOLOS
TES-AKD-2026-02780,dirjaharya485@yahoo.com,Dirja Haryanto,MANAJEMEN PEMASARAN,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02783,halimauyai930@yahoo.com,Halima Uyainah,ELEKTRONIKA DAN INSTRUMENTASI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02785,artawanwas477@pln.co.id,Artawan Waskita,MANAJEMEN PEMASARAN,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02786,kaniahassa124@outlook.com,Kania Hassanah,ADMINISTRASI BISNIS,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02788,murtilatup661@outlook.com,Murti Latupono,TEKNIK BIOENERGI,21,DISARANKAN,LOLOS
TES-AKD-2026-02789,martanisim192@yahoo.com,Martani Simbolon,TEKNIK LINGKUNGAN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02790,zalindraha175@outlook.com,Zalindra Hassanah,ADMINISTRASI BISNIS,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02795,heryantosi426@outlook.com,Heryanto Sinaga,MANAJEMEN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02799,mujursaefu338@pln.co.id,Mujur Saefullah,BIG DATA DAN BUSINESS INTELLIGENCE,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02801,kokosetiaw256@pln.co.id,Koko Setiawan,MANAJEMEN RISIKO,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02802,verahasana515@yahoo.com,Vera Hasanah,KOMUNIKASI,23,DISARANKAN,LOLOS
TES-AKD-2026-02806,teguhutama741@yahoo.com,Teguh Utama,TEKNIK INDUSTRI,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02820,cemetimahe440@outlook.com,Cemeti Mahendra,TEKNIK KIMIA,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02821,michellewi709@gmail.com,Michelle Wijayanti,TEKNIK LINGKUNGAN,25,DISARANKAN,LOLOS
TES-AKD-2026-02834,maryantosi529@yahoo.com,Maryanto Sinaga,TEKNIK INDUSTRI,24,DISARANKAN,LOLOS
TES-AKD-2026-02839,kaylaandri169@gmail.com,Kayla Andriani,MANAJEMEN PEMASARAN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02840,kasusrasur644@pln.co.id,Kasusra Suryono,TEKNIK ELEKTRO,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02842,dalimanput444@pln.co.id,Daliman Putra,DIGITAL MARKETING DAN ANALYTICS,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02849,jindrasant100@pln.co.id,Jindra Santoso,TEKNIK PERTAMBANGAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02850,zalindrama923@gmail.com,Zalindra Mandasari,MANAJEMEN RISIKO,23,DISARANKAN,LOLOS
TES-AKD-2026-02857,ajionosaef376@pln.co.id,Ajiono Saefullah,TEKNIK MATERIAL,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02862,pangeranpr370@outlook.com,Pangeran Prakasa,SAFETY ENGINEERING,23,DISARANKAN,LOLOS
TES-AKD-2026-02866,gentapurna304@outlook.com,Genta Purnawati,SUPPLY CHAIN MANAGEMENT,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02869,ratnaperti14@pln.co.id,Ratna Pertiwi,PSIKOLOGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02870,bagussamos753@outlook.com,Bagus Samosir,SUPPLY CHAIN MANAGEMENT,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02872,uliwulanda975@gmail.com,Uli Wulandari,MANAJEMEN PROYEK,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02878,ellissuart253@pln.co.id,Ellis Suartini,TEKNIK SIPIL,23,DISARANKAN,LOLOS
TES-AKD-2026-02888,gabriellap767@gmail.com,Gabriella Puspasari,PROGRAM STUDI LAINNYA NON TEKNIK,9,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02897,putumaulan906@outlook.com,Putu Maulana,TEKNIK LINGKUNGAN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02898,ifahalimah517@gmail.com,Ifa Halimah,MANAJEMEN PEMASARAN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02899,zeldausada213@gmail.com,Zelda Usada,TEKNIK BIOENERGI,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02901,sabrimanda586@outlook.com,Sabri Mandala,TEKNIK MATERIAL,23,DISARANKAN,LOLOS
TES-AKD-2026-02905,aswanihuta322@yahoo.com,Aswani Hutagalung,DIGITAL MARKETING DAN ANALYTICS,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02907,najwapalas396@yahoo.com,Najwa Palastri,TEKNIK LISTRIK,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02909,balidinhut150@yahoo.com,Balidin Hutapea,TEKNIK MESIN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02910,dacingunaw669@yahoo.com,Dacin Gunawan,TEKNIK KIMIA,21,DISARANKAN,LOLOS
TES-AKD-2026-02914,yuliafujia892@gmail.com,Yulia Fujiati,MANAJEMEN BISNIS,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02920,nabilarahi214@pln.co.id,Nabila Rahimah,ADMINISTRASI BISNIS,25,DISARANKAN,LOLOS
TES-AKD-2026-02934,ekosirait413@yahoo.com,Eko Sirait,KEUANGAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02935,emongsamos538@gmail.com,Emong Samosir,TEKNIK KIMIA,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02938,radenpradi88@gmail.com,Raden Pradipta,SUPPLY CHAIN MANAGEMENT,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02939,irawidiast505@pln.co.id,Ira Widiastuti,MANAJEMEN ASET,7,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-02947,mustofatam58@pln.co.id,Mustofa Tamba,KONVERSI ENERGI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02956,kadirlatup217@yahoo.com,Kadir Latupono,ELEKTRONIKA DAN INSTRUMENTASI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02964,uchitautam230@gmail.com,Uchita Utami,TEKNIK LINGKUNGAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02972,galihtarih382@outlook.com,Galih Tarihoran,AKUNTANSI,23,DISARANKAN,LOLOS
TES-AKD-2026-02980,dalimaagus174@outlook.com,Dalima Agustina,MANAJEMEN BISNIS,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-02986,vickysuart530@pln.co.id,Vicky Suartini,TEKNIK ELEKTRO,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-03002,pranataraj955@pln.co.id,Pranata Rajasa,PROGRAM STUDI LAINNYA NON TEKNIK,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-03007,dariatinaj942@yahoo.com,Dariati Najmudin,MANAJEMEN KEUANGAN,21,DISARANKAN,LOLOS
